abject	abyecto
assertedly	afirmadamente
aflictedly	afligidamente
fluently	afluentemente
gracefully	agraciadamente
aggravatingly	agravantemente
offencedly	agraviadamente
aggressively	agresivamente_aggressivelyD
sharply	agudamente
sharply	ahincadamente
economisedly	ahorradamente
angrily	airadamente
isolatedly	aisladamente
tightly	ajustadamente
extendedly	alargadamente
jubilantly	alborozadamente
crazily	alocadamente
alternately	alternadamente
gobsmackedly	alucinadamente
lovesickly	amarteladamente
ambitiously	ambiciosamente
ambiguously	ambiguamente
amicably	amigablemente
inheaps	amontonadamente
lovingly	amorosamente
analogously	análogamente
analogically	analógicamente
anatomically	anatómicamente
widely	anchamente
agedly	ancianamente
raggedly	andrajosamente
angelically	angelicalmente
angularly	angularmente
bravely	animosamente
childlikely	aniñadamente
anticipatively	anticipativamente
capriciously	antojadizamente
antonomastically	antonomásticamente
gently	apaciblemente
spectacularly	aparatosamente
isolatedly	apartadamente
devotedly	apegadamente
thickly	apelmazadamente
distressedly	apesaradamente
apocryphally	apócrifamente
empowerly	apoderadamente
apostolically	apostólicamente
esteemedly	apreciadamente
urgently	apremiadamente
violently	apresivamente
tightly	apretadamente
profitably	aprovechadamente
neatly	apuestamente
withgreatdifficulty	apuradamente
hastily	aquejadamente
vehemently	aquejosamente
arbitrarily	arbitrariamente
mysteriously	arcanamente
ardourously	ardentísimamente
bravely	ardidamente
ardently	ardientemente
ardently	ardorosamente
arduously	arduamente
harmoniously	armónicamente
harmoniously	armoniosamente
inanorderlyfashion	apostadamente
rock	acunar
tidyup	adecentar
tidyup	adecentarse
sinkitsteethinto	adentellar
adhere	adherecer
adhere	adherir
add	adicionar
train	adiestrar
train	adiestrarse
useadjectivally	adjetivar
season	adobar
indoctrinate	adoctrinar
sufferfrom	adolecer
pave	adoquinar
sendtosleep	adormecer
becomesleepy	adormecerse
attach_adosar	adosar
happen	advenir
airlift	aerotransportar
disfigure	afear
grasp	aferrar
cling	aferrarse
stickto	aferrarsea
strengthen	afianzar
flow	afluir
flowinto	afluira
goFrench	afrancesarse
goAfrican	africanizarse
Afrikaner	afrikáner
Afrikaner	afrikáner
bend	agachar
benddown	agacharse
hold	agarrar
holdon	agarrarse
holdonto	agarrarsea
holdonto	agarrarsede
stiffen	agarrotar
stiffen	agarrotarse
entertain	agasajar
hide	agazapar
hide	agazaparse
obtain	agenciar
manage	agenciarse
enlarge	agigantar
getmuchbigger	agigantarse
speedup	agilizar
speedup	agilizarse
agglomerate	aglomerar
agglomerate	aglomerarse
overwhelm	agobiar
overwhelm	agobiarse
offend	agraviar
beoffended	agraviarse
turnsour	agriar
turnsour	agriarse
becomeembittered	agriarelcarácter
getflu	agriparse
water	aguar
spoilfunto	aguarlafiestaa
pierce	agujerear
sharpen	aguzar
prickupitsears	aguzareloído
keepitseyespeeled	aguzarlavista
haveflu	estaragripado
haveflu	estaragripada
haveflu	estaragripadas
haveflu	estaragripados
adopt	ahijar
drown	ahogar
drown	ahogarse
frightenoff	ahuyentar
runaway	ahuyentarse
air	airear
taketheair	airearse
cleartheair	airearlaatmósfera
crumple	ajar
getwrinkled	ajarse
ladscape	ajardinar
landscapedarea	zonaajardinada
bustle	ajetrear
bustleabout	ajetrearse
execute	ajusticiar
wire	alambrar
boast	alardear
lengthen	alargar
dawn	alborear
disturb	alborotar
gladden	alborozar
gossip	alcahuetear
alcalinise	alcalinizar
laydrainsin	alcantarillar
alcoholise	alcoholizar
suddenly	arrebatadamente
inanorderlyway	arregladamente
boldly	arriscadamente
distinctly	articuladamente
calmly	asosegadamente
helterskelter	atropelladamente
runhelterskelter	correratropelladamente
gabble	hablaratropelladamente
rushintoadecision	decidiratropelladamente
authoritatively	autorizadamente
avariciously	avariciosamente
adventurously	aventureramente
wisely	avivadamente
hazardously	azarosamente
cheaply	baratamente
tremendously	bárbaramente
barbarically	barbáricamente
sufficiently	bastantemente
beautifully	bellamente
benevolently	benévolamente
kindly	benignamente
savagely	bestialmente
biennially	bienalmente
bravely	bizarramente
mildly	blandamente
blasphemously	blasfemamente
stupidly	bobamente
nicely	bonitamente
fiercely	bravamente
brilliantly	brillantemente
willingly	buenamente
likeagentleman	caballerosamente
melodiously	cadenciosamente
calamitously	calamitosamente
calculatedly	calculadamente
qualifiedly	calificadamente
quietly	calladamente
slanderously	calumniosamente
warmly	calurosamente
cheerfully	campechanamente
ingenuously	cándidamente
canonically	canónicamente
characteristically	característicamente
expensively	caramente
affectionately	cariciosamente
carnally	carnalmente
inaCastilianway	castellanamente
authentically	castizamente
categorically_categóricamente	categóricamente_categoricallyD
catholically	católicamente
abundantly	caudalosamente
caustically	cáusticamente
suspiciously	cavilosamente
celestially	celestialmente
closely	cercanamente
instruct	aleccionar
allegorize	alegorizar
encourage	alentar
makedrowsy	aletargar
growdrowsy	aletargarse
teachtoreadandwrite	alfabetizar
tile	alicatar
dress	aliñar
straighten	alisar
list	alistar
playitcool	alivianarse
preserveinsyrup	almibarar
usehoneyedwords	almibararlaspalabras
starch	almidonar
unstarched	sinalmidonar
pad	almohadillar
havelunch	almorzar
drivemad	alocar
gocrazy	alocarse
argue	altercar
lightup	alumbrar
landonthemoon	alunizar
begodmotherto	amadrinar
train	amaestrar
threaten	amagar
amalgamate	amalgamar
amalgamate	amalgamarse
alter	amañar
beskilful	amañarse
dawn	amanecer
becomeaffected	amanerarse
soothe	amansar
calmdown	amansarse
beyellowish	amarillear
tieup	amarrar
gettight	amarrarse
seek	ambicionar
haveanambitiontobe	ambicionarser
scare	amedrentar
bescared	amedrentarse
makepleasant	amenizar
americanise	americanizar
becomeAmericanised	americanizarse
deserve	ameritar
machinegun	ametrallar
becomefriends	amigarse
scare	amilanar
reduce	aminorar
bringtogether	amistar
becomefriends	amistarse
becomefriendswith	amistarsecon
grantanamnestyto	amnistiar
adapt	amoldar
adapt	amoldarse
gag	amordazar
shroud	amortajar
deaden	amortecer
cushion	amortiguar
incitetoriot	amotinar
riot	amotinarse
protect	amparar
seekprotection	ampararse
bore	amuermar
getbored	amuermarse
anathematise	anatematizar
anathematise	anatemizar
flood	anegar
flood	anegarse
dissolveintotears	anegarseenllanto
attach_anexar	anexar_attachD
narrow	angostar
narrow	angostarse
distress	angustiar
getanxious	angustiarse
getanxiousabout	angustiarsepor
shelter	anidar
becomebrutalised	animalizarse
stun	anonadar
beoverwhelmed	anonadarse
miss	añorar
paralyse	anquilosar_paralyseD
precede	anteceder
placeinfront	anteponer
placeinfrontof	anteponera
feelunfriendly	antipatizar
dislike	antipatizarcon
knot	anudar
getintoknots	anudarse
havealumpinthethroat	anudarselavoz
smash	apachurrar
agreeto	apalabrar
settledown	apalancar
beat	apalear
fix	apañar
manage	apañarse
reducedly	cercenadamente
inaclosedway	cerradamente
roughly	cerrilmente
certifiably	certificadamente
veneeredly	chapadamente
funnily	chistosamente
funnily	chuscamente
blindly	ciegamente
incode	cifradamente
cynically	cínicamente
circularly	circularmente
incircunference	circunferencialmente
schismaticly	cismáticamente
civilly	civilmente
clandestinely	clandestinamente
clerically	clericalmente
clinically	clínicamente
dirty	cochinamente
fully	colmadamente
moderately	compasadamente
briefly	compendiariamente
briefly	compendiosamente
competently	competentemente
neatly	compuestamente
communally	comunalmente
methodically	concertadamente
conscientiously	concienzudamente
confidently	confiadamente
confidentially	confidencialmente
confidently	confidentemente
confirmedly	confirmadamente
comfortably	confortablemente
confusedly	confusamente
talkmuddled	hablarconfusamente
haveavaguememory	recordarconfusamente
congruently	congruamente
innately	connaturalmente
clearly	conocidamente
consistently	consecuentemente
skilfully	consejeramente
inacontiguousway	contiguamente
withcontinence	continentemente
contingently	contingentemente
continually	continuadamente
contraryto	contrariamentea
obstinately	contumazmente
properly_convenientemente	convenientemente_properlyD
incommunity	conventualmente
convincingly	convincentemente
coordinatedly	coordinadamente
copiously	copiosamente
copulatively	copulativamente
choreographically	coreográficamente
corporally	corporalmente
corporately	corporativamente
withreformatory	correccionalmente
correlatively	correlativamente
appropriately	correspondientemente
continuously	corridamente
usually	corrientemente
corruptly	corrompidamente
corruptly	corruptamente
likeacorsair	corsariamente
scantily	cortamente
inacourtlymanner	cortesanamente
expensively	costosamente
daily	cotidianamente
ignorantly	crasamente
outstandingly	crecidamente
credulously	crédulamente
mate	aparear
mate	aparearse
getready_aparejar	aparejar_getready
getready	aparejarse
look	aparentar
bemadabout	apasionar
getexcited	apasionarse
takedown	apear
getoff	apearse_getoffD
push	apechugar
takeon	apechugarcon
faceupto	apechugarsecon
stone	apedrear
bedamagedbyhail	apedrearse
becomeattachedto	apegarsea
call	apellidar
becalled	apellidarse
grieve	apenar
grieve	apenarse
grieveabout	apenarsede
grieveabout	apenarsepor
Lancelot	Lanzarote
LancelotduLac	LanzarotedelLago
LancelotoftheLake	LanzarotedelLago
Rasputin	Rasputín
Agamemnon	Agamenón
Hannibal	Aníbal
Apollo	Apolo
Achilles	Aquiles
Aristotle	Aristóteles
Cicero	Cicerón
Koran	Corán
Quran	Corán
Quran	Corán
Democles	Demócles
Democritus	Demócrito
Demosthenes	Demóstenes
Aeneas	Eneas
Ennius	Ennio
Erasmus	Erasmo
Scipion	Escipión
Euclid	Euclides
FrancisBorgia	FranciscodeBorja
Heraclitus	Heráclito
Hercules	Hércules
Homer	Homero
Horace	Horacio
JohnofGod	JuandeDios
JohnofMatha	JuandeMata
JohntheBaptist	JuanelBautista
IgnatiusofAntioch	IgnaciodeAntioquía
WilliamTell	GuillermoTell
AgustínDíazdeMeraGarcíaConsuegra	AgustínDíazdeMeraGarcíaConsuegra
Arnas	Arnas
Jerzy	Jerzy
Ján	Ján
Bairbre	Bairbre
MaryLou	MaryLou
EvaBritt	EvaBritt
AlexanderLukashenko	AleksandrLukashenko
AlexanderGrigoryevichLukashenko	AleksandrGrigórievichLukashenko
GhostofChristmasPast	EspectrodelaNavidadPasada
GhostofChristmasPresent	EspectrodelaNavidadPresente
GhostofChristmasYetToCome	EspectrodelaNavidadvenidera
Jupiter	Júpiter
Muhammed	Mahoma
Miltiades	Milcíades
Moses	Moisés
Nebuchadnezzar	Nabucodonosor
Napoleon	Napoleón
Orpheus	Orfeo
Plato	Platón
Pliny	Plinio
Plinio	Plinio
Plutarch	Plutarco
Polycarp	Policarpo
Polydorus	Polidoro
Prometheus	Prometeo
KingSolomon	reySalomón
Sophocles	Sófocles
Telemachus	Telémaco
Telesphorus	Telésforo
Ptolemy	Tolomeo
Ptolemey	Tolomeo
Virgil	Virgilio
Phaedra	Fedra
Iphigenia	Ifigenia
RoseofLima	RosadeLima
Napoleon	Napoleón
Napoleón	Napoleón
JohnCabot	JuanCaboto
JohnCalvin	JuanCalvino
Allah	Alá
Adam	Adam
Adriana	Adriana
Adrià	Adrià
Elche	Elche
Afghanistan	Afganistán
SriLanka	SriLanka
Ripoll	Ripoll
Vilnius	Vilna
Vilno	Vilna
Babylon	Babilonia
BohaiSea	mardeBohai
Dalian	Dalian
Mecca	Meca
Medina	Medina
Kremlin	Kremlin
Amman	Ammán
Khartoum	Jartum
Africa	frica
Ainhoa	Ainhoa
Aitor	Aitor
Alan	Alan
Alaska	Alaska
Alba	Alba
Albert	Albert
Alberto	Alberto
Alex	Alex
Alexander	Alexander
Alexandra	Alexandra
Algeria	Argelia
Alicante	Alacant
Alicante	Alicante
Alicia	Alicia
America	América
Amsterdam	Amsterdam
Andalucia	Andalucía
Andorra	Andorra
Andrea	Andrea
Andreu	Andreu
Ankara	Ankara
Anna	Anna
Anthony	Anthony
Antoni	Antoni
Antonio	Antonio
Apertium	Apertium
Windows	Windows
LanguageTool	LanguageTool
Metallica	Metallica
ACDC	ACDC
DuranDuran	DuranDuran
AliceinChains	AliceinChains
Arabia	Arabia
Aragon	Aragón
Argentina	Argentina
Ariadna	Ariadna
Arizona	Arizona
Artur	Artur
Asia	Asia
Asturias	Asturias
Athens	Atenas
Australia	Australia
Austria	Austria
Baghdad	Bagdad
Bahrain	Bahrein
Bangkok	Bangkok
Barak	Barak
Barclay	Barclay
Basauri	Basauri
Pyrenees	Pirineos
Pyrenees	Pirineo
VitoriaGasteiz	VitoriaGasteiz
Vitoria	Vitoria
Barcelona	Barcelona
Bartomeu	Bartomeu
Beckett	Beckett
Beirut	Beirut
Belgium	Bélgica
Belgrade	Belgrado
Berlin	Berlín
Bernard	Bernard
Bernat	Bernat
Berne	Berna
Biel	Biel
Bill	Bill
Boeing	Boeing
Bogota	Bogotá
Bolivia	Bolivia
Borja	Borja
Bosnia	Bosnia
Brazil	Brasil
Britain	GranBretaña
Brussels	Bruselas
Bucharest	Bucarest
Budapest	Budapest
Bulgaria	Bulgaria
California	California
Cameroon	Camerún
Canada	Canadá
Canaries	Canarias
Candela	Candela
Cantabria	Cantabria
Caracas	Caracas
Carla	Carla
Carles	Carles
Carlos	Carlos
Carlota	Carlota
Carme	Carme
Carolina	Carolina
Caribbean	Caribe
CastileandLeon	CastillayLeón
Catalina	Catalina
Catalonia	Catalunya
Catalonia	Cataluña
Cecilia	Cecilia
Ceuta	Ceuta
Chad	Chad
Chile	Chile
China	China
Christopher	Christopher
Colombia	Colombia
Congo	Congo
Cristian	Cristian
Cristina	Cristina
Croatia	Croacia
Cuba	Cuba
Cyprus	Chipre
Dakar	Dakar
Dallas	Dallas
Damascus	Damasco
Daniel	Daniel
David	David
Denmark	Dinamarca
Dennis	Dennis
Diego	Diego
Dublin	Dublín
Copenhagen	Copenhague
Brno	Brno
Manchester	Manchester
Vrchlabí	Vrchlabí
Brighton	Brighton
Johannesburg	Johannesburgo
Jihomoravskkraj	Jihomoravskkraj
HradecKrálové	HradecKrálové
Shanghai	Shanghai
Brisbane	Brisbane
Ecuador	Ecuador
Edinburgh	Edimburgo
Eduard	Eduard
Eduard	Eduard
Egypt	Egipto
Elena	Elena
Elizabeth	Elizabeth
Emma	Emma
England	Inglaterra
Enric	Enric
Enrique	Enrique
Eric	Eric
Erika	Erika
Esteve	Esteve
Esther	Esther
Estonia	Estonia
Ethiopia	Etiopía
Europe	Europa
Eva	Eva
Extremadura	Extremadura
Fernando	Fernando
Ferran	Ferran
Finland	Finlandia
France	Francia
Francesc	Francesc
Francis	Francis
Francisco	Francisco
Frankfurt	Frankfurt
Gabriel	Gabriel
Gabriela	Gabriela
Galicia	Galicia
Gaza	Gaza
Gemma	Gemma
George	George
Georgia	Georgia
Gerard	Gerard
Germany	Alemania
Germany	Alemania
Ghana	Ghana
Gibraltar	Gibraltar
Girona	Gerona
Girona	Girona
Grace	Grace
GreatBritain	GranBretaña
Greece	Grecia
Grenada	Granada_Grenada
Guadeloupe	Guadalupe
Guatemala	Guatemala
Guatemala	Guatemala
Guillem	Guillem
Guinea	Guinea
Haiti	Haití
Harry	Harry
Helena	Helena
Henry	Henry
Hillary	Hillary
Holland	Holanda
Hollywood	Hollywood
HongKong	HongKong
Houston	Houston
Hugo	Hugo
Hungary	Hungría
Ibiza	Eivissa
Ibiza	Ibiza
Iceland	Islandia
Eyjafjallajkull	Eyjafjallajkull
Ignasi	Ignasi
Indiana	Indiana
Indonesia	Indonesia
Ireland	Irlanda
Irene	Irene
Isabel	Isabel
Islamabad	Islamabad
Israel	Israel
Italy	Italia
Jack	Jack
Jaime	Jaime
Jamaica	Jamaica
James	James
Jan	Jan
Jane	Jane
Japan	Japón
Jaume	Jaume
Javier	Javier
Jesus	Jesús
Jesús	Jesús
Joan	Joan
Joaquim	Joaquim
Joe	Joe
Joel	Joel
John	John
Jon	Jon
Jordan	Jordania
Jordi	Jordi
Jorge	Jorge
Josep	Josep
Joseph	Joseph
José	José
Juan	Juan
Juli	Juli
Jupiter	Júpiter
Kabul	Kabul
Korea	Corea
Kosovo	Kosovo
Lara	Lara
LatinAmerica_LatinoaméricaD	Latinoamérica
Latvia	Letonia
Laura	Laura
Lebanon	Líbano
Lewis	Lewis
Libya	Libia
Lima	Lima
Linux	Linux
Apple	Apple
AerLingus	AerLingus
ChinaNationalPetroleumCorporation	ChinaNationalPetroleumCorporation
VictoriasSecret	VictoriasSecret
MonarchGold	MonarchGold
thCenturyFox	thCenturyFox
LeMonde	LeMonde
ElCorreo	ElCorreo
EHSukarra	EHSukarra
Lisbon	Lisboa
Lithuania	Lituania
Lleida	Lleida
Lleida	Lérida
Lluís	Lluís
Lluís	Lluís
London	Londres
Lorena	Lorena
Lorraine	Lorena
Louis	Louis
Lucas	Lucas
Luis	Luis
Luxembourg	Luxemburgo
Madagascar	Madagascar
Madrid	Madrid
Magdalena	Magdalena
Malabo	Malabo
Mallorca	Mallorca
Malta	Malta
Manel	Manel
Manhattan	Manhattan
Manuel	Manuel
Mar	Mar
Marc	Marc
Margaret	Margaret
Maria	Maria
Maria	Maria
Mario	Mario
Mark	Mark
Mars	Marte
Marseilles	Marsella
Marta	Marta
Martin	Martin
Martí	Martí
Martín	Martín
Mary	Mary
María	María
María	María
Mauritania	Mauritania
Mauritius	Mauricio
Mediterranean	Mediterráneo
Melilla	Melilla
Mexico	Méjico
Mexico	México
Miami	Miami
Michael	Michael
Microsoft	Microsoft
NewYorkTimes	NewYorkTimes
WallStreetJournal	WallStreetJournal
Miguel	Miguel
Mike	Mike
Milan	Milán
Minnesota	Minnesota
Miquel	Miquel
Mireia	Mireia
Monaco	Mónaco
Montenegro	Montenegro
Montevideo	Montevideo
Montjuïc	Montjuic
Montreal	Montreal
Montserrat	Montserrat
Morgan	Morgan
Morocco	Marruecos
Moscow	Moscú
Mozilla	Mozilla
Munich	Múnich
Murcia	Murcia
Navarra	Navarra
Nazareth	Nazaret
Nepal	Nepal
NewYork	NuevaYork
NewZealand	NuevaZelanda
Nicaragua	Nicaragua
Nice	Niza
Nicolas	Nicolas
Nicolau	Nicolau
Nicole	Nicole
Nigeria	Nigeria
Noelia	Noelia
Norway	Noruega
Núria	Núria
Olga	Olga
Oliver	Oliver
Oriol	Oriol
Oslo	Oslo
Paco	Paco
Pakistan	Pakistán
Panama	Panamá
Paraguay	Paraguay
Paris	París
Pasqual	Pasqual
Pau	Pau
Paula	Paula
Peking	Pekín
Pep	Pep
Pere	Pere
Peru	Perú
Peter	Peter
Philip	Philip
Philippines	Filipinas
Poland	Polonia
Portugal	Portugal
Prague	Praga
Qatar	Qatar
Queensland	Queensland
Donegal	Donegal
Dover	Dover
Rabat	Rabat
Rafael	Rafael
Ramon	Ramon
Raquel	Raquel
Raúl	Raúl
Repsol	Repsol
Richard	Richard
Robert	Robert
Roberto	Roberto
Roger	Roger
Romania	Rumania
Romania	Rumanía
Rome	Roma
Rosa	Rosa
Russia	Rusia
Rwanda	Ruanda
Sabadell	Sabadell
Sahara	Sáhara
Salvador	Salvador
Samuel	Samuel
Sandra	Sandra
Santiago	Santiago
Sara	Sara
Saturn	Saturno
SaudiArabia	ArabiaSaudí
Scotland	Escocia
Sebastià	Sebastià
Sebastià	Sebastià
Senegal	Senegal
Seoul	Seúl
Sergi	Sergi
Simon	Simon
Singapore	Singapur
Slovakia	Eslovaquia
Slovenia	Eslovenia
Sofia	Sofía
Sofia	Sofia
Sofia	Sofía
SouthAfrica	Sudáfrica
SouthAfrica	Suráfrica
Spain	España
Stephen	Stephen
Steven	Steven
Stockholm	Estocolmo
Strasbourg	Estrasburgo
Stuttgart	Stuttgart
Sudan	Sudán
Sweden	Suecia
Switzerland	Suiza
Syria	Siria
Taiwan	Taiwán
Tanzania	Tanzania
Tarragona	Tarragona
Tenerife	Tenerife
Texas	Texas
Thailand	Tailandia
Thailand	Tailandia
Thailand	Tailandia
Thomas	Thomas
Tokyo	Tokio
Tokyo	Tokyo
Tom	Tom
Tripoli	Trípoli
Tunis	Túnez
Turkey	Turquía
Turkey	Turquía
US	EEUU
US	EEUU
US	EEUU
USA	EEUU
Ukraine	Ucrania
UnitedKingdom	ReinoUnido
UnitedStates	EstadosUnidos
TheNewYorkTimes	TheNewYorkTimes
Unix	Unix
Uruguay	Uruguay
Utah	Utah
Venezuela	Venezuela
Venus	Venus
Vienna	Viena
Vietnam	Vietnam
Víctor	Víctor
WaitingforGodot	EsperandoaGodot
WallStreet	WallStreet
Walter	Walter
Warsaw	Varsovia
Washington	Washington
William	William
Wilson	Wilson
Xavier	Xavier
Yugoslavia	Yugoslavia
Zimbabwe	Zimbabwe
ngel	ngel
UnitedKingdomofGreatBritainandNorthernIreland	ReinoUnidodeGranBretañaeIrlandadelNorte
NorthernIreland	IrlandadelNorte
LaPalma	LaPalma
UnitedKingdomofGreatBritainandIreland	ReinoUnidodeGranBretañaeIrlanda
TreatyestablishingaConstitutionforEurope	TratadoporelqueseestableceunaconstituciónparaEuropa
PerStigMller	PerStigMller
StanislavGross	StanislavGross
FidelCastro	FidelCastro
American	americano
American	americano
JapaneseAmerican	americanodeorigenjaponés
JapaneseAmerican	americanodeorigenjaponés
nonEU	extracomunitario
nonEC	extracomunitario
JapaneseAmerican	americanodeorigenjaponés
Hannukah	Janucá
Chanukah	Jánuka
Aragonese	aragonés
Aragonese	aragonés
Mongolian	mongol
Mongolian	mongol
testament	testamento
April	abril
Asian	asiático
Asian	asiático
August	agosto
Buddhism	budismo
Buddhist	budista
person	gente
person	gente
person	persona
Catalan	catalán
Catalan	catalán
Catholic	católico
Catholic	católico
Christian	cristiano
Christian	cristiano
Christianity	cristianismo
antiquity	antigüedad
December	diciembre
English	inglés
English	inglés
European	europeo
European	europeo
February	febrero
French	francés
French	francés
Friday	viernes
Friday	viernes
Friday	viernes
German	alemán
German	alemán
Greek	griego
Greek	griego
Irish	irlandés
Irish	irlandés
Italian	italiano
Italian	italiano
January	enero
Japanese	japonés
Japanese	japonés
July	julio
June	junio
Korean	coreano
Korean	coreano
latin_latinoD	latino
latin	latino
latin_latín	latín
March	marzo
Marxism	marxismo
May	mayo
Monday	lunes
Monday	lunes
Muslim	moro
Nazism	nazismo
November	noviembre
October	octubre
Palestinian	palestino
Palestinian	palestino
Protestant	protestante
Russian	ruso
Russian	ruso
Saturday	sábado
September	septiembre
September	setiembre
Spaniard	español
Spaniard	español
Spaniard	español
Sumerian	sumerio
Sumerian	sumerio
Sunday	domingo
Swiss	suizo
Swiss	suizo
Thursday	jueves
Thursday	jueves
Tuesday	martes
Tuesday	martes
Tuesday	martes
Turkish	turco
Turkish	turco
Valencian	valenciano
Valencian	valenciano
Wednesday	miércoles
Wednesday	miércoles
abandonment	abandono
abbot	abad
abbot	abad
abdication	abdicación
abdomen	abdomen
aberration	aberración
ability	habilidad
ethnicity	etnicidad
intuitivity	intuitividad
manoeuvrability	maniobrabilidad
falsifiability	falsabilidad
ablation	ablación
abnegation	abnegación
abnormality	anormalidad
abortion	aborto
absence	ausencia
eloquence	elocuencia
suaviloquence	suavilocuencia
absenteeism	absentismo
absolution	absolución
absolutism	absolutismo
abstention	abstención
abstentionism	abstencionismo
abstentionist	abstencionista
abstinence	abstinencia
abundance	abundancia
abuse	abuso
abyss	abismo
academy	academia
rape	violación
acceleration	aceleración
accent	acento
acceptance	aceptación
access	acceso
accessibility	accesibilidad
accident	accidente
acclamation	aclamación
acclimatisation	aclimatación
accommodation	alojamiento
accompaniment	acompañamiento
accord	acuerdo
account_cuentaD	cuenta
account_relación	relación
accountancy	contabilidad
accountant	contable
accounting	contabilidad
accumulation	acumulación
ace	as
achievement	consecución
acid	ácido
acidity	acidez
acoustics	acústica
acquisition	adquisición
acrobat	acróbata
actofGod	casofortuito
actofnature	casofortuito
act_actoD	acto
decree	auto_decree
act_ley	ley
action	acción
activism	activismo
activist	activista
activity	actividad
actor	actor
actuality	actualidad
ad	anuncio_ad
adaptation	adaptación
adapter	adaptador
addendum	adenda
addict	adicto
addict	adicto
addition	adición
additive	aditivo
address_direcciónD	dirección_address
postaladdress	direcciónpostal
adherent	partidario
adherent	partidario_adherentD
adjective	adjetivo
adjudication	adjudicación
adjudication	adjudicación
adjudicator	adjudicatario
adjudicator	adjudicatario
administration	administración
administrator	administrador
administrator	administrador
admiration	admiración
adolescence	adolescencia
adoption	adopción
adoration	adoración_adorationD
adrenaline	adrenalina
adult	adulto
adult	adulto
adulteration	adulteración
adultery	adulterio
advance	avance
advance	adelanto
advancement	adelanto
advantage	ventaja
adventure	andanza
adventure	aventura
adverb	adverbio
adversity	adversidad
advert	publicidad
advertisement	anuncio
advertising	publicidad
advice_consejoD	consejo_advice
adviser	asesor
adviser	asesor_adviserD
adviser	consejero
aerosol	aerosol
aesthetics	estética
affair	asunto
affection	afecto
affection	cariño
affectivity	afectividad
affinity	afinidad
affirmation	afirmación
tributary	afluente
afternoon	tarde_afternoonD
aftertaste	regusto
age	edad
agency	agencia
agent	agente
aggravation	agravamiento
aggregation	agregación
aggressiveness	agresividad
aggressor	agresor
aggressor	agresor_aggressorD
aging	envejecimiento
agitation	agitación
agony	agonía
agreement	acuerdo
agreement	contrato
agreement	convenio
agriculturalist	agricultor
agriculturalist	agricultor
agriculture	agricultura
aid	ayuda
aide	asesor
aide	asesor_aide
aim	objetivo
air	aire
aircraft	aeronave
airfield	aeródromo_airfieldD
aeroplane	avión
airplane	avión
airliner	avión
airport	aeropuerto
alarm	alarma
alarmism	alarmismo
albatross	albatros
album	álbum
alcohol	alcohol
alcohol	alcohol
alcoholism	alcoholismo
algorithm	algoritmo
algorithm	algoritmo
alien	alienígena
alien	extraterrestre
alienation	alienación
alienation	enajenación
alienism	extranjería
allegation	alegación
allergy	alergia
alleviation	atenuante
alley	calleja
alley	callejón
deadend	callejónsinsalida_deadendD
alliance	alianza
allocation	asignación_allocationD
allowance	pensión
alloy	aleación
allusion	alusión
alluvium	aluvión
ally	aliado
ally	aliado
respondent	encuestado
respondent	encuestado
almond	almendra
alms	limosna
alms	limosna
alphabet	alfabeto
altar	altar
altarpiece	retablo
alteration	alteración
altercation	altercado
alternative	alternativa
alternativemedicine	medicinanatural
altitude	altitud
altruist	altruista
aluminium	aluminio
amateur	aficionado
amateur	aficionado_amateur
ambassador	embajador
ambassador	embajador
ambiguity	ambigüedad
ambition	ambición
ambulance	ambulancia
amen	amén
amendment	enmienda
amendment	subsanación
americanism	americanismo
amnesty	amnistía
amount	cantidad
amount	importe
amphibian	anfibio
amphitheatre	anfiteatro
amphitheatre	anfiteatro
amplifier	amplificador
amplitude	amplitud
amputation	amputación
anachronism	anacronismo
anaemic	anémico
anaemic	anémico
anaesthetist	anestesista
analysis	análisis
analysis	análisis
analyst	analista
anarchism	anarquismo
anarchist	anarquista
anarchy	anarquía
anatomy	anatomía
anecdote	anécdota
anaemia	anemia
anaesthesia	anestesia
angel	ángel
anger	rabia_angerD
angina	angina
angle	ángulo
animal	animal
animation	animación
animosity	animosidad
ankle	tobillo
annex	anexo_annexD
annexationist	anexionista
annihilation	aniquilación
anniversary	aniversario
announcement	anuncio_announcementD
announcement	convocatoria
anomaly	anomalía
anonymity	anonimato
anorexia	anorexia
answer	respuesta_answerD
ant	hormiga
anteater	hervidero
anteater	hormiguero
antecedent	antecedente
anthology	antología
anthropologist	antropólogo
anthropologist	antropólogo
antibiotic	antibiótico
antibody	anticuerpo
antibody	anticuerpo
anticipation	anticipación
antioxidant	antioxidante
antipathy	antipatía
antiracialism	antirracista
antisemitism	antisemitismo
antithesis	antítesis
antithesis	antítesis
anus	ano
anus	ano
anus	ano
anxiety_angustia	angustia_anxietyD
anxiety_ansia	ansia_anxietyD
anxiety_ansiedadD	ansiedad
apartment	apartamento
apathy	apatía
ape	simio
apnoea	apnea
apologia	apología
apostle	apóstol
appeal_apelaciónD	apelación
appeal_atractivo	atractivo
appeal_solicitud	solicitud
appearance_aspectoD	aspecto
appearance	viso_appearance
appellative	apelativo
appendix	apéndice
applause	aplauso
apple	manzana
snowman	monigotedenieve
appliance	electrodoméstico
appliance	electrodoméstico
applicant	solicitante
application_aplicaciónD	aplicación_applicationD
application_solicitud	solicitud
appointment	cita_appointmentD
appreciation	agradecimiento
