manipulation	manipulació
prejudge	prejudicar
nepotism	nepotisme
harmless	inofensiu
blurs	desdibuixat
inhibit	inhibir
bafflement	malestar
nervously	nerviosament
barbaric	bàrbar
defamation	difamació
destiny	destí
incendiary	incendiari
readily	fàcilment
authoritative	autoritari
razor-sharp	afilat
overtakes	avança
poor	pobre
confusion	confusió
doddering	esquarterant
intimacy	intimitat
surpass	superar
indecisively	indecís
hazard	perill
grievances	greuges
fresh	fresc
anxieties	ansietats
impoverish	empobriment
hasseling	molestia
stupify	estupir
hurts	dol
disbelief	incredulitat
spewed	llançant
bravado	bravat
loud	fort
stodgy	imprudent
confrontation	confrontació
violently	violentament
painless	indolor
brazen	descarat
bashing	colpejant
depressed	deprimit
disgustfully	desagradable
dark	fosc
cruelty	crueltat
fails	falla
recklessness	imprudència
horrifies	horroritza
twisted	retorçat
repression	repressió
forgetfulness	oblit
improvement	millora
panic	pànic
disagreeable	desagradable
torturous	tortuosos
subversion	subversió
mortify	mortificar
stump	tocón
feverish	febril
adore	adorar
destitute	indigent
hobble	aficionat
electrify	electrificar
affable	afable
siege	cèrcol
feebleminded	feble
sinking	enfonsament
falsely	falsament
auspicious	auspicis
distinctive	distintiu
outrageous	escandalosament
insurrection	insurrecció
unfeeling	indecent
dumbfound	immòbil
contradict	contradiu
disconcerting	desconcertant
awe	por
regard	respecte
profoundly	profundament
busybody	ocupat
comforting	reconfortant
spank	assotar
puppet	titella
expropriation	expropiació
skill	habilitat
alarm	alarma
panicky	pànic
obscure	fosca
resistance	resistència
disruptive	pertorbador
bulkyness	voluminosa
pertinacity	pertinacitat
glowingly	bruscament
startlingly	sorprenentment
pleasurable	plaent
profusion	profusió
corrosion	corrosió
intermittent	intermitent
tricky	difícil
sharp	agut
mesmerizingly	sorprenentment
unpopular	impopular
hampered	obstaculitzat
losers	perdedors
felicitate	felicitar
recommendation	recomanació
goon	continuar
distains	dissenya
despotic	despòtic
volatile	volàtil
steadfastly	fermament
contribution	aportació
poorly	malament
phenomenally	fenomenalment
clogged	atrapat
disquietude	inquietud
crowdedness	multitud
whips	fuets
bugging	molestant
exalted	exaltada
lavishly	esplèndidament
rightness	rectitud
wripped	embolicat
abnormal	anormal
dissonantly	dissonant
craftly	artesanalment
ethical	ètic
dreadful	terrible
inessential	inesencial
congratulatory	felicitacions
upsettingly	atroç
arduous	ardu
despair	desesperació
thoughtfulness	reflexió
emptiness	buit
courageousness	valentia
unjustly	injustament
invaluablely	invalorablement
catastrophies	catàstrofes
prodigy	prodigi
supporting	suport
shamefully	vergonyosament
sweet	dolç
idiotic	idiota
growl	créixer
panoramic	panoràmica
despise	menysprear
smitten	ferit
slanders	calúmnia
award	premi
smoke	fum
overstatements	exageracions
loose	solt
rapturously	bojosament
persecute	perseguir
overjoyed	alegre
incorrectly	incorrectament
burn	cremar
disadvantaged	desfavorits
calumnious	calumnia
weakness	debilitat
defiant	desafiant
stutters	estribos
stranger	desconegut
cry	plorar
dizzing	endiablant
reluctantly	contracor
calming	calmant
declines	disminueix
indelicate	indelicat
afflictive	aflicció
taunts	burla
erosion	erosió
slanderous	calúmnia
richly	ricament
prejudice	prejudici
indebted	deutor
trumpet	trompeta
demonic	demoníac
displaced	desplaçats
vomits	vomita
infuriated	enfuriat
breakup	trencar
challenging	desafiant
ecstatic	extático
scathingly	mordaçment
sloww	retardar
gratitude	gratitud
seriousness	serietat
embarrass	avergonyir
deteriorate	deteriorar
contortions	contorsions
madden	boig
skittish	descoratjador
gem	gemma
dehumanize	deshumanitzar
sufficient	suficient
holy	sant
abuse	abús
licentious	llicenciat
recoil	retrocés
penalize	penalitzar
feeble	feble
correctly	correctament
impeccably	impecable
superstitious	supersticiosos
counter-attack	contraatac
stringent	rigorós
cohesive	cohesiu
villianous	villanos
regally	regalment
avariciously	avariament
insinuation	insinuació
tranquility	tranquilitat
excitedness	excitat
bliss	felicitat
infuriating	enfuriant
poetic	poètic
fortunate	afortunat
concede	concedir
wretched	miserable
alluring	fascinant
shaky	inestable
blatant	flagrant
nimble	àgil
lose	perdre
dependable	confiable
reprovingly	reprobant
overturn	bolcat
satisified	satisfet
exalt	exaltar
sabotage	sabotatge
scoldingly	gratament
bloom	florir
implicate	implicar
danger	perill
disquieting	inquietant
discordance	discordança
audacious	audaç
flawless	impecable
haste	pressa
scratched	ratllat
smudge	manchú
uncivilized	incivilitzat
accusation	acusació
brisk	ràpid
calmness	calma
stupidity	estupidesa
hypocricy	hipocresia
lag	retard
integrated	integrat
gross	brut
hegemonistic	hegemonista
enviably	enviablement
troubled	preocupat
unlawfulness	il·legalitat
crazily	bojos
fool	ximple
impartial	imparcial
illuminati	il·luminats
stupor	estupor
misleadingly	enganyosa
recommendations	recomanacions
petrified	petrificat
pure	pur
heaven	cel
apocalyptic	apocalíptic
monstrosities	monstruositats
beneficially	beneficiós
fancinating	fancinant
leading	líder
intrigue	intriga
disgraceful	vergonyós
scandalize	escandalitzar
protest	protesta
distrustful	desconcertant
grind	moldre
glimmer	brillantor
overloaded	sobrecarregat
perfidity	perfidesa
glaringly	clarament
cherub	querubí
crazy	boig
counterproductive	contraproduent
revile	reviure
villainous	vilà
frost	gelades
stale	obsolet
sick	malalt
inescapable	ineludible
pretentious	pretensiós
villian	vilà
ridicule	ridícul
stain	taca
lie	mentir
burning	crema
astonished	sorprès
contempt	menyspreu
appreciated	apreciat
contemptible	despreciable
obstruction	obstrucció
boiling	bullint
humourous	chistós
archaic	arcaic
hamper	dificultar
pluses	avantatges
satisfying	satisfacció
disrupt	interrompre
pigs	porcs
invader	invasor
inconsistence	inconsistència
inconsiderate	desconsiderat
lukewarm	tebi
glistening	brillantor
stammer	balbucejar
fickle	inconstante
invigorate	dinamitzar
imperiously	imperiosamente
playful	juganer
baffling	desconcertant
handicapped	discapacitats
pollute	contamina
faults	falles
revoke	revocar
simplified	simplificat
monotonous	monòton
excelled	sobresortit
rectification	rectificació
agreeable	agradable
inaction	inacció
busts	bustos
reprehensibly	reprensiblement
onslaught	emboscada
shrouded	embolicat
rebellious	rebel
temptation	temptació
insufferable	insuportable
irritated	irritat
overbearing	superació
sink	pica
unthinkably	impensable
lonely	solitari
demonize	demonitzar
harboring	acollint
amuse	divertir
alarmingly	alarmant
tenuous	tènue
scorn	menyspreu
indistinguishable	indistinguible
interruptions	interrupcions
undercuts	baixades
slogged	inclinat
bitterness	amargor
reluctance	reticència
prestige	prestigi
indeterminate	indeterminat
absentee	absent
toxic	tòxic
stereotypically	estereotipada
hysteric	histèrica
steals	roben
blockage	bloqueig
confident	confiat
sincere	sincer
ruins	ruïnes
admonish	adverteix
scourge	plaga
discouragement	desànim
adaptive	adaptatiu
drawbacks	inconvenients
smooth	llis
missed	perduda
generously	generosament
disasterous	desastre
irrational	irracional
sorrowful	trist
inconsequential	inconsecuente
problem	problema
smilingly	somrient
prickle	picada
bullies	valents
nemesis	némesis
disinterested	desinteressat
emphatically	enfáticamente
miraculousness	miraculosa
difficult	difícil
menacingly	amenaçadorament
downsides	desavantatges
optimal	Òptima
criticizing	criticant
harass	assetjar
antagonize	antagonitzar
jubilation	jubilació
stable	estable
belligerent	bel·ligerant
successful	reeixit
dying	morint
ironical	irònic
proves	prova
capriciously	capritxosa
bumped	atacat
reprehensive	reprensiu
seasoned	sazonat
obliterate	esborrar
inexperience	inexperiencia
eloquence	eloqüència
pretty	bonic
stagnation	estancament
aggressor	agressor
bunk	llitera
explode	explotar
ludicrously	ridícul
setback	revés
extortion	extorsió
fun	diversió
direly	terriblement
atrocities	atrocitats
provoke	provocar
hothouse	hivernacle
drastically	dràsticament
painfully	dolorosament
heathen	pagans
taint	taca
gritty	amarg
bitterly	amargament
contaminated	contaminat
wanton	desitjada
deviate	desviar-se
evade	evadir
injure	ferir
panicking	pànic
champion	campió
gracious	amable
stereotype	estereotip
quash	esborra
self-defeating	autodestructiva
dogged	perseguit
fractious	fracturals
sensations	sensacions
happily	feliçment
discompose	descompondre
indifferent	indiferent
clearly	clarament
ungrateful	ingrat
inconsolably	inconsolable
villains	vilans
crumpled	arrugat
damn	maleïda
noisy	sorollós
shrivel	rebuig
harsh	dures
unhappiness	infelicitat
conspiracy	conspiració
reasonably	raonablement
pessimistically	pessimista
venerate	venerar
amicable	amistós
startling	sorprenent
hissed	silenciat
restrict	restringir
unachievable	inassolible
implode	implosió
avid	àvid
navigable	navegable
paramount	primordial
impure	impur
overheat	sobreescalfament
viciously	cruelment
perverse	pervers
itching	picor
frustrate	frustrar
tingle	formiguejar
elevate	elevar
leads	condueix
daze	atordit
adversarial	adversarietat
affordably	assequible
cannibal	caníbal
dissing	dissuadir
surmount	superar
scandel	escàndol
incompatability	incompatibilitat
bulky	voluminós
immorally	immoralment
overstates	exageració
venomous	venenoso
unbearable	insuportable
clumsy	torpe
mislead	enganyar
sleek	pulcre
explosive	explosiu
exhorbitant	exorbitant
horrifys	horrorosos
helped	ajudat
promising	prometedor
windfall	imprevist
loss	pèrdua
endorsed	aprovat
infallibility	infal·libilitat
exorbitantance	exorbitant
outdone	obsolet
revives	ressuscita
stunted	atordit
unavoidably	inevitablement
contemptuously	despectivament
brilliant	genial
glitch	error
interrupt	interrompre
eagerly	ansiosament
beneficiary	beneficiari
smudging	manchú
loses	perd
truthfulness	veracitat
scare	espantar
lascivious	lescivia
approval	aprovació
touted	promocionat
scornful	menyspreable
profound	profund
notably	notablement
shun	rebuig
ambush	emboscada
remarkable	notable
parody	paròdia
mourn	plorar
tiring	cansador
debatable	discutible
fumes	fums
jeopardy	perill
unreal	irreal
upbeat	optimista
enhancement	millora
reconciliation	reconciliació
amazement	sorpresa
diametrically	diametralment
rejuvenate	rejovenir
accuse	acusar
miscellaneous	divers
illogical	il·lògic
disillusioned	desencantat
misunderstand	malentendre
diabolically	diabòlicament
fascist	fascista
lucidly	lúcidament
drawback	inconvenient
irrecoverableness	irrecuperable
paralize	paralitzar
annoyances	molèsties
indiscreet	indiscret
defiantly	desafiant
nastily	desagradablement
impetuously	impetuosament
liked	agradat
hypocrite	hipòcrita
crash	falla
recessionary	recessiu
bleakly	desagradable
rogue	deshonor
unfaithfully	infidel
gentle	amable
concerns	preocupacions
shit	merda
adulterier	adúlter
facilitate	facilitar
peaceful	pacífic
peppy	picant
nourishment	alimentació
cramping	calambres
spoilled	esmunyit
believeable	creïble
barbarically	bàrbarament
brutality	brutalitat
doubtful	dubtós
inflict	infligir
immoderately	inmoderadament
straighten	redreçar
distasteful	desagradable
breach	incompliment
unexpectedly	inesperadament
mawkish	francs
best	millor
sarcastic	sarcàstic
envy	enveja
oddity	estranyesa
chivalrous	caballeresc
hasty	precipitada
break	trencar
saver	estalviador
satisfy	satisfacció
crooks	bandits
vengefulness	venjança
oversimplified	simplificat
hoodwink	encantat
faithful	fidels
wedge	falca
insurmountable	insuperable
enthuse	entusiasmar
neatly	perfectament
eruptions	erupcions
unequivocally	inequívocament
regret	lamenta
scramble	lluita
ragged	rosses
proud	orgullós
unsound	inadequat
barbarian	bàrbar
ferociously	feroçment
undisputably	indiscutiblement
exultingly	exultantemente
sad	trist
tanks	dipòsits
whine	grinyols
viewable	visible
loathsome	desconcertant
predatory	depredador
incorrect	incorrecte
besiege	assetja
plusses	aversions
sickeningly	malaltemente
pricey	car
devoid	desproveïda
insolently	insolent
congestion	congestió
uproarously	desesperadament
advantage	avantatge
clunky	entremaliat
aggrieved	agraviat
lawlessness	angoixa
primitive	primitiu
likable	estimable
effectiveness	efectivitat
pretence	pretensió
tentative	temptatiu
procrastination	dilacion
fooled	enganyat
berserk	boig
perseverance	perseverança
captivate	cautivar
properly	correctament
comfy	còmode
quarrellously	pelegrós
outsider	estranger
accolades	elogis
vengeance	venjança
cancer	càncer
hideous	horrible
mudslinger	fang
heal	curar
anti-occupation	anti-ocupació
hopelessness	desesperança
fume	fum
incomprehensible	incomprensible
ashamed	avergonyit
shirk	fracassar
distort	distorsionar
fans	ventiladors
officious	oficioso
congratulations	felicitacions
grace	gràcia
cumbersome	engorrosa
unlamentable	inigualable
heck	diables
opposition	oposició
dispute	disputa
absurdly	absurdament
articulate	articular
frozen	congelat
vindictiveness	venjança
shriek	cridar
dungeons	masmorres
bluring	desdibuixat
fatuity	fatuïtat
discouragingly	descoratjadorament
contaminating	contaminant
underlings	subratllats
declaim	declam
dragging	arrossegant
set-up	configuració
degenerate	degenerar
drags	arrossega
foolhardy	enganyós
dishonor	deshonor
charitable	caritatiu
shamelessly	descaradament
subjugate	subjugar
nicest	millor
somber	sombre
resilient	resistent
restored	restaurada
offensiveness	ofensiva
dissatisfy	descontent
rightful	legítim
incapably	incapaçment
upgradable	actualitzable
subpoenas	citacions
throbbing	palpitant
intimate	Íntim
overbalanced	equilibrat
gaily	alegre
lovably	amablement
beautify	embellir
licentiousness	licenciositat
scandal	escàndol
sketchy	incompleta
exhilaratingly	emocionant
overdone	exagerat
lawful	legal
devil	diable
refusal	negativa
villainously	vilmente
enflame	inflar
tangles	enredos
dazzle	enlluernar
kindness	bondat
fallout	caure
stupified	estupidament
arrogantly	arrogantemente
fanaticism	fanatisme
feign	fingir
hateful	odiós
affability	afable
catastrophic	catastròfic
cooperative	cooperativa
entangle	enredar
obese	obesitat
caricature	caricatura
piety	pietat
rapt	aveteu
infested	infestat
offensively	ofensivament
burden	càrrega
sagacity	sagacitat
damaged	espatllat
unwarranted	injustificat
break-up	trencar
banish	desterrar
crumbling	esmicolant
fried	fregit
eviscerate	eviscerar
imbecile	imbécil
mists	boires
helpful	Útil
deft	bo
obsessively	obsessivament
adamantly	fermament
fault	falta
precipitous	precipitada
disappoint	decebre
strikingly	sorprenentment
unproductive	improductiu
demeaning	demeanant
scummy	escumós
exceled	excel·lent
striving	esforçant
entice	atreure
blackmail	xantatge
appreciate	apreciar
slaughter	matança
rusty	rovellat
devilishly	diabòlicament
impending	imminent
instigate	instigar
wane	perdre
neurotic	neuròtic
reproach	retret
powerless	impotent
shipwreck	naufragi
sucker	aixovador
diligently	diligentment
over-hyped	sobre-hyped
apprehension	aprensió
wrangle	disputa
infraction	infracció
enliven	animat
defy	desafiar
disapointment	decepció
outrage	indignació
naively	ingenu
haggle	regatejar
ingeniously	enginyosament
murderous	assassí
inopportune	inoportú
virtue	virtut
competitive	competitiu
smudged	mancat
exhilaration	alegria
frustratingly	frustrantment
fruitful	fructífer
grudge	rencor
unlimited	il·limitat
delinquency	delinqüència
decadence	decadència
bored	avorrit
overwhelming	aclaparadora
rapport	informe
sprightly	francament
fulfillment	realització
famed	famós
embroil	embriagar
condescending	condescendent
squabbling	lluitar
survivor	supervivent
insubstantial	insubstancial
ominous	ominós
accommodative	acollidor
cancerous	cancerós
grandeur	grandesa
villianously	vilànicament
sucks	xucla
irresponsible	irresponsable
ecstasy	Èxtasi
laid-off	acomiadat
bewilderingly	desconcertant
heroine	heroïna
escapade	escapada
positives	positius
extinguish	extingir
odd	estrany
inequitably	inequívocament
swindle	estafa
praising	lloant
haters	enemics
erroneously	erròniament
egocentric	egocèntric
skinny	flac
attack	atac
wrestle	lluitar
elation	elació
squirm	calmar
distressed	afligit
snappish	trencant
jaw-droping	mandibular
hysterically	histèricament
defects	defectes
inconsequently	inconsecuentemente
irresolvable	irresoluble
distinguished	distingit
thrill	emoció
paucity	escassetat
tainted	contaminat
radicalization	radicalització
dubious	dubtós
improperly	indegudament
martyrdom	martiri
misgiving	indulgent
mocking	burlant
graceful	agraciat
harden	endurir
lull	calma
tattered	esquinçat
acridly	acridament
heavenly	celestial
outshine	esclatar
diversified	diversificat
tarnished	embruixat
egotism	egotisme
impoverished	empobrit
hefty	abundant
sedentary	sedentari
miss	senyoreta
spooky	fantasmal
deserving	mereixedor
capable	capaç
smelling	olorant
assurances	assegurances
doubts	dubtes
disaster	desastre
hilarious	hilarant
prattle	practle
imprecise	imprecís
divine	diví
washed-out	rentat
excites	excita
precise	precís
indiscretion	indiscreció
dehumanization	deshumanització
immaculately	immaculadament
tragic	tràgic
incitement	incitació
jam	melmelada
tantrum	birra
verifiable	verificable
anarchism	anarquisme
abyss	abisme
indoctrinate	adoctrinate
outperforms	supera
subversively	subversivament
disabled	desactivat
guiltily	culpable
domineering	domini
hassles	molèsties
livid	líquid
hurted	dolgut
dissappointing	decepcionant
flaky	escamós
strenuous	vigorós
anomalous	anòmal
despot	dèspota
lame	coix
unsettle	inestable
suffer	pateix
famine	fam
loathing	aversió
excruciating	excruciant
eulogize	eulogiar
enthralled	fascinant
goodness	bondat
imprison	empresonar
adventurous	aventurer
disconcerted	desconcertat
leer	llegir
reformed	reformat
appreciable	apreciable
deceiver	enganyador
bitch	puta
comfortable	còmode
stolen	robat
gloom	tristesa
contrasty	contrastada
restructured	reestructurat
cunts	cats
recommended	recomanat
anti-semites	antisemites
posh	elegant
stupendously	estupendamente
belligerently	belligerament
languid	lànguid
paralyzed	paralitzat
agonizingly	agonitzant
haze	boirina
adulate	adul·lar
disapproving	rebutjant
self-interested	interessat
deny	negar
viper	escurçó
smudges	manchas
snag	atropellament
morbidly	morbidament
righten	dret
rupture	ruptura
testily	testament
cleanly	net
harried	atrapats
keenness	agudesa
infringe	infringir
paradise	paradís
false	fals
failures	fracassos
bleeding	sagnat
merit	mèrit
implausibly	implacablement
persecution	persecució
spew	saltar
winner	guanyador
displeasing	disgustant
admonisher	advertidor
striking	sorprenent
thriving	prosperant
overtake	avançar
errant	errante
grief	pena
substantive	substantiu
cheating	trampa
reaffirmation	reafirmació
secretive	secretiva
stingingly	picantament
sustainable	sostenible
sanctimonious	santificós
lethargic	letargs
awards	premis
felicity	felicitat
unnoticed	desapercebut
indecisive	indecís
vexing	molest
rude	groller
sob	sollozo
dauntingly	intimidant
bothered	molestat
injustices	injustícies
raped	violada
futilely	inútil
luckiness	sort
despondently	despreocupadament
sinister	sinistre
stubborn	obstinat
wreaked	embolicat
adverse	advers
dishonorable	deshonorable
dismissively	despreciable
dynamic	dinàmic
joker	bromista
torture	tortura
disinclination	desinformació
embroiled	embruixat
loath	repugnància
stigma	estigma
illuminating	il·luminant
momentous	momentós
kindly	amablement
upheaval	trastorn
rife	abundant
dissatisfactory	insatisfactori
ruinous	ruïnós
enchant	encantar
rejoicing	alegria
harmoniously	harmoniosament
master	mestre
lonesome	solitari
expensive	car
flairs	socis
affordable	assequible
musty	mossegant
nonexistent	inexistent
deceivers	enganyadors
blow	cop
confrontational	confrontació
advocated	defensat
lucrative	lucratiu
affluent	afluent
novelty	novetat
tramp	vagabund
deceptive	enganyós
dreary	trist
improve	millorar
monumentally	monumentalment
suspicious	sospitós
relapse	recaiguda
mendacious	mendaz
bruises	contusions
gainsay	guanyar
skeletons	esquelets
over-awe	sorprenent
unassailable	inassequible
tingled	barrejat
afford	pagar
remorsefully	remordidament
inaccurate	inexacte
overblown	exagerat
unkind	desconsiderat
awful	horrible
recover	recuperar
tanked	tancat
tormented	atormentat
disclaim	renunciar
hegemonism	hegemonisme
payback	retrocés
raping	violació
unfairly	injustament
persevere	perseverar
outcry	crit
unequal	desigual
struggles	lluites
barbarous	bàrbar
self-serving	autoservei
broken	trencat
overplay	exagerat
fortuitous	fortuït
stormy	tempestuós
mystery	misteri
wary	desconegut
fall	caure
honored	honrat
sufferer	malalt
limitations	limitacions
disprove	refutar
obscene	obscè
punitive	punitiu
boost	estímul
stuffy	congestionada
sarcasm	sarcasme
inadverent	inadvertit
leakage	fuites
itchy	picor
insufficiency	insuficiència
loathly	dubtós
phony	fals
spendy	gastat
mightily	poderosament
affectation	afectació
prosecute	perseguir
drained	esgotat
legendary	llegendari
mist	boira
hindrance	impediment
picket	piquet
undermines	soscava
screech	calfar
burdensome	incrèdul
bomb	bomba
unwieldy	incòmode
impair	perjudicar
disoriented	desorientat
unsupportive	incondicional
nauseates	nàusees
incite	incitar
nasty	desagradable
savage	salvatge
disinterest	desinterès
unrelenting	incansable
promptly	immediatament
egregiously	exageradament
crumple	esmicolar
continuity	continuïtat
hostage	ostatge
invasive	invasiu
gimmicky	genial
jaundiced	icteriat
demolish	demolir
flexibility	flexibilitat
corrupts	corrupte
clean	net
scars	cicatrius
sinisterly	sinistre
lying	estirat
crude	cru
assassinate	assassinar
notoriously	notoriamente
advocate	advocar
stifling	sofocant
mad	boig
wonderful	meravellós
spilling	vessant
hysterics	histèria
sorrowfully	tristement
amazing	sorprenent
injurious	injuriosa
straggler	estraggler
freedom	llibertat
prickles	picades
blindingly	cegament
inability	incapacitat
inept	inepto
delusion	engany
graft	empelt
cataclysm	cataclisme
righteous	just
prolific	prolífic
debasement	degradació
debt	deute
deviousness	desviament
ploy	trampa
jerk	estrèpit
layoff-happy	acomiadat-feliç
prison	presó
indulge	complaure
unjustifiably	injustificadament
stagnant	estancat
austere	auster
demonizing	demonizando
contradictory	contradictori
ridiculously	ridículament
mesmerizes	hipnotitza
solicitude	sol·licitud
disappointing	decebedor
audibly	audible
autonomous	autònom
refinement	refinament
latency	latència
rejected	rebutjada
preferable	preferible
criticisms	crítiques
gems	gemmes
poverty	pobresa
dope	droga
adjustable	ajustable
intriguingly	intrigant
damnation	condemnació
sacrificed	sacrificat
colorful	colorit
rapid	ràpid
disappointingly	decebedor
uninformed	desinformat
rail	ferrocarril
adversity	adversitat
topple	abaixar
comprehensive	complet
baffle	deflector
economical	econòmic
maliciously	maliciosament
quarrelsome	disputada
radiance	resplendor
refunded	reemborsat
petty	petit
matchless	inigualable
fluent	fluid
downturns	desacceleració
wild	salvatge
smuttier	smutter
incomplete	incomplet
delicious	deliciós
chaff	palla
stately	senyorial
ameliorate	millorar
stagnate	estancar
heretical	heretica
excitingly	emocionant
glowing	brillantor
affably	afablement
shiny	brillant
disgustedly	desagradable
apprehensions	aprensions
victory	victòria
dwindling	disminució
anti-american	antiamericà
retractable	retràctil
timidly	timidament
undue	indegudament
contaminates	contamina
fuzzy	borrós
virulently	virulentament
ruined	arruïnat
admirer	admirador
perfectly	perfectament
resentful	ressentit
scowl	enfosquiment
grand	gran
nicer	millor
ultimatums	ultimàtum
dodgey	esquivo
mediocrity	mediocritat
oppositions	oposicions
humble	humil
taunting	inquietant
superb	excel·lent
neglect	negligència
soothingly	tranquil·lament
strike	colpejar
cherished	estimat
refine	refinar
brashly	francament
ingenious	enginyós
barbarously	bàrbarament
inspire	inspirar
exclusion	exclusió
grim	tèrmic
undefined	indefinit
bait	esquer
superstition	superstició
charismatic	carismàtic
luck	sort
upsets	molestos
superfluous	superflu
ovation	ovació
inconsistencies	inconsistències
affluence	riquesa
laudable	lloable
enemies	enemics
touchy	tàctil
extremist	extremista
gratefully	agraït
invaluable	inestimable
reasoned	raonat
warm	càlid
delightfully	deliciosament
tired	cansat
profuse	profus
hardened	endurit
enemy	enemic
chatter	xat
attune	ajut
weariness	cansament
warned	advertit
incompetence	incompetència
sensibly	sensiblement
sucked	xuclat
reachable	accessible
racist	racista
threats	amenaces
breakdown	desglossament
squeals	xafarderies
injury	ferida
abrupt	abrupte
buoyant	boia
brutalising	brutalitzant
torturously	tortuosament
gainsayer	guanyador
complimentary	gratuït
numb	entumit
treasonous	traidor
commotion	commoció
vile	vil
treacherously	traïdora
far-fetched	llunyà
orderly	ordenat
despoil	esborrar
compulsive	compulsiu
eases	facilita
loopholes	llacunes
finagle	finaguera
unusual	inusual
unlawfully	il·legalment
genuine	genuí
hinder	obstaculitza
wrinkles	arrugues
uproarious	molest
stirringly	agitadament
jerky	cruixent
ungovernable	ingovernable
imperfect	imperfecte
tediously	tediosamente
judicious	prudent
agility	agilitat
intense	intens
brainy	intel·ligent
weirdly	estranyament
wack	falla
fist	puny
atrocious	atroç
originality	originalitat
tumultuous	tumultuós
gain	guany
frail	fràgil
examplary	examen
inadvisably	desaconsellablement
kudos	felicitats
detests	detesta
dishonestly	deshonest
vivacious	vivaz
woeful	lamentable
titillating	titilar
masterfully	magistralment
vileness	vilesa
brimstone	sofre
bland	soso
scuff	trampa
palatial	palaciego
idle	ociós
joyful	alegre
knowledgeable	coneixedor
bashful	boig
modesty	modèstia
adequate	adequat
apologists	apologistes
chill	escalfa
suicide	suïcidi
wickedly	malament
disvalue	desvaloritzar
trusting	confiant
drunken	borratxo
unsteady	inestable
genocide	genocidi
disaffect	disgust
sumptuousness	sumptuositat
courteous	cortès
arcane	arcà
flaw	defecte
abused	abusat
monstrosity	monstruositat
perish	morir
stridently	estridentment
uproot	desarrelament
credible	creïble
cheery	alegre
simplifies	simplifica
horrifying	horrorós
humorously	humorísticament
luxuriant	exuberant
commendably	encomiable
strut	puntal
foolishly	francament
revengefully	revenja
undignified	indignat
dissatisfied	insatisfet
nice	agradable
shambles	rugeix
carelessness	descuit
disastrously	desastrós
disturbed	pertorbat
lyrical	líric
fraught	ple
franticly	frenèticament
fulminate	fulminar
gruesome	horrible
displeasure	descontentament
misrepresent	tergiversar
healthful	saludable
dishearteningly	descoratjador
pre-eminent	preeminent
drought	sequera
genius	geni
atrophy	atròfia
lament	lamentar
dignity	dignitat
win	guanyar
evasive	evasiu
accomplishment	realització
obstructing	obstruir
moan	gemegar
quarrellous	baralla
stupendous	estupend
fears	temors
uncertain	incert
disgrace	desgràcia
amusingly	divertitament
unspeakablely	inequívocament
divinely	divinament
itch	picor
irrecoverable	irrecuperable
disagreeably	desagradable
recommend	recomano
downhill	baixada
quarrels	baralles
lechery	lleteria
tidy	ordenat
smoldering	ardorós
benefit	benefici
irritating	irritant
foully	malament
delinquent	delinqüent
irrationally	irracionalment
improper	inadequat
enthusiast	entusiasta
encourage	animar
sour	Àcid
everlasting	etern
bloodthirsty	sanguinari
annihilate	aniquilar
butchery	carnisseria
nightmarish	sorpresa
brutally	brutalment
oversight	supervisió
deception	engany
languorous	languidora
annoyed	molest
boil	bullir
dishearten	descansar
cave	cova
rejuvenating	rejovenint
pervasive	penetrant
outstanding	excepcional
smoothes	suavitza
preposterous	absurd
betrayal	traïció
lags	retards
liberate	alliberar
disorganized	desorganitzat
deadlock	estancament
grotesque	grotesc
remission	remissió
lemon	llimona
repulsing	rebutjant
lucid	lúcid
inappropriate	inadequat
insincerity	insinceritat
confound	confondre
illuminate	il·luminar
zealous	zelós
partisan	partidista
slaughtered	sacrificat
proving	provant
patriotic	patriòtic
remorseful	remordedor
bores	forats
pathetic	patètic
smouldering	ardorós
flirty	coqueta
antiquated	antiquat
unimaginably	inimaginablement
delay	retard
lugubrious	lúgubre
addicting	addictiu
deviously	evidentment
irrepressible	irreprimible
mesmerized	hipnotitzat
laudably	laudablement
subordinate	subordinat
entrapment	atrapament
promised	promet
tickle	pessigolles
danken	falla
disturbance	pertorbació
disconcertingly	desconcertant
mistified	mistificat
allegations	al·legacions
eloquent	eloqüent
awkwardness	incomoditat
prodigiously	prodigiosament
outperformed	millorat
flatteringly	afortunadament
astonishing	sorprenent
daringly	atreviment
soothe	calmar
wonder	meravella
affirmation	afirmació
flighty	poderosos
surreal	surrealista
ghastly	horrible
advantages	avantatges
unpleasantries	desagradables
obliterated	esborrat
steady	constant
cheated	enganyat
agonize	agonitzar
vibrating	vibrant
trouble	problemes
graciousness	gràcia
creepy	horripilant
resound	ressonen
ironically	irònicament
derogatory	derogatori
approve	aprovar
nettlesome	indulgent
inarticulate	inarticular
maturity	maduresa
finely	finament
acclaim	aclamació
misleading	enganyós
angriness	angoixa
butcher	carnisser
peeled	pelat
static	estàtic
incongruously	incongruentment
misinformed	desinformat
deplorably	deplorable
protect	protegir
restful	tranquil
anguish	angoixa
gaining	guanyant
exhaust	escapament
nightmarishly	amablement
enthusiasm	entusiasme
enhanced	millorat
grouchy	groc
desperate	desesperat
hostile	hostil
deceiving	enganyant
virtuous	virtuós
thrifty	estalviador
magnificence	magnificència
rejection	rebuig
affliction	aflicció
unforgiving	implacable
hate	odi
hail	calamarsa
suave	suau
idolized	idolatrat
