2-faces	2-caras
dissuade	disuadir
dissuasive	disuasivo
distaste	disgusto
distasteful	desagradable
distastefully	desagrado
distinction	distinción
distinctive	distintivo
distinguished	distinguido
distort	distorsionar
distorted	distorsionado
distortion	distorsión
distorts	distorsiona
distract	distraer
distracting	distracción
distraction	distracción
distraught	loco
distress	angustia
distressed	angustiado
distressing	angustioso
distressingly	penosamente
distrust	desconfianza
distrustful	desconfiado
distrusting	desconfiando
disturbance	perturbación
disturbed	perturbado
disturbingly	perturbadoramente
disturbing	perturbador
disturb	perturbar
disunity	desunión
disvalue	disvalor
divergent	divergente
diversified	diversificado
divine	divino
divinely	divinamente
divisive	divisivo
divisiveness	divisionismo
dizzy	mareado
doddering	chocho
doggedly	tenazmente
dogged	obstinado
dogmatic	dogmático
doldrums	bache
dominate	conquista
dominated	dominado
dominates	domina
domineering	dominador
domineer	tiranizar
doomed	condenado
doom	perdición
dope	droga
dote	adorar
doubt	duda
doubtful	dudoso
doubtless	indudable
doubts	dudas
downbeat	pesimista
downcast	alicaído
downfall	caída
downgrade	degradar
downhearted	desanimado
downside	desventaja
downsides	desventajas
downturn	recesión
downturns	recesiones
drab	monótono
draconian	draconiana
draconic	dracónica
drag	arrastrar
dragged	arrastrado
dragging	arrastrando
dragoon	dragón
drags	arrastra
drain	drenar
drained	agotado
draining	drenaje
drains	desagües
drastically	drásticamente
drastic	drástico
drawback	inconveniente
drawbacks	inconvenientes
dreadfully	horrorosamente
dreadful	terrible
dread	temer
dreary	triste
dripped	goteado
dripping	goteo
drippy	pegajosa
drips	goteos
droop	caer
droops	cae
dropout	deserción
drop-outs	abandonos
dropouts	abandonos
drought	sequía
drowning	ahogo
drunkard	borracho
drunk	borracho
drunken	borracho
dubious	dudoso
dubiously	dudosamente
dud	falso
dull	aburrido
dullard	zoquete
dumbfounded	estupefacto
dumb	mudo
dumps	vertederos
dump	vertedero
dunce	burro
dungeon	mazmorra
dungeons	mazmorras
dupe	incauto
durable	duradero
dust	polvo
dusty	polvoriento
dwindling	menguante
dying	moribundo
dynamic	dinámico
eager	ansioso
eagerly	ansiosamente
eagerness	afán
earnestly	formalmente
earnestness	seriedad
earnest	serio
eased	aliviado
ease	facilidad
eases	facilita
easiness	facilidad
easing	aliviando
easy	fácil
easygoing	acomodadizo
ebullience	entusiasmo
ebullient	exuberante
eccentric	excéntrico
eccentricity	excentricidad
economical	económico
ecstasies	éxtasis
ecstasy	éxtasis
ecstatically	éxtasis
ecstatic	extático
edify	edificar
educated	educado
effective	efectivo
effectively	eficazmente
effectiveness	efectividad
effectual	eficaz
efficacious	eficaz
efficient	eficiente
efficiently	eficientemente
effigy	efigie
effortless	fácil
effortlessly	permitiendo
effrontery	descaro
effusion	efusión
effusive	efusivo
effusively	efusivamente
effusiveness	efusividad
egocentric	egocéntrico
egomania	egomanía
egotism	egotismo
egotistical	ególatra
egotistically	egoístamente
egregious	enorme
egregiously	notoriamente
elated	exaltado
elate	regocijado
elation	elación
election-rigger	elecciones-instalador
electrify	electrizar
elegance	elegancia
elegant	elegante
elegantly	elegantemente
elevate	elevar
elimination	eliminación
elite	élite
eloquence	elocuencia
eloquently	elocuentemente
emaciated	demacrado
emasculate	castrar
embarrass	avergonzar
embarrassing	embarazoso
embarrassingly	vergonzosamente
embarrassment	vergüenza
embolden	envalentonar
embroiled	embrollado
embroil	embrollar
embroilment	embrollo
emergency	emergencia
eminence	eminencia
eminent	eminente
empathize	empatizar
empathy	empatía
emphatically	enfáticamente
emphatic	enfático
empower	autorizar
emptiness	vacío
enchant	encantar
enchanting	encantador
encourage	fomentar
encouragement	estímulo
encouraging	alentador
encouragingly	alentador
encroachment	usurpación
encroach	usurpar
endearing	entrañable
endorsed	endosado
endorse	endosar
endorsement	endoso
endorses	respalda
endorsing	endosar
enemies	enemigos
enemy	enemigo
energetic	energético
energize	energizar
enervate	enervar
enfeeble	debilitar
enflame	inflamar
engrossing	absorbente
engulf	tragarse
enhanced	mejorado
enhance	mejorar
enhancement	realce
enhances	mejora
enjoin	ordenar
enjoyable	agradable
enjoyably	divertida
enjoy	disfrutar
enjoyed	disfrutado
enjoying	disfrutando
enjoyment	disfrute
enjoys	disfruta
enlighten	iluminar
enlightenment	ilustración
enliven	animar
enmity	enemistad
ennoble	ennoblecer
enough	suficiente
enraged	enfurecido
enrage	enfurecer
enraging	enfurecedora
enrapture	arrebatar
enraptured	embelesado
enrich	enriquecer
enrichment	enriquecimiento
enslave	esclavizar
entangle	enredar
entanglement	enredo
enterprising	emprendedor
entertain	entretener
entertaining	entretenido
entertains	entretiene
enthral	cautivar
enthrall	cautivar
enthralled	cautivados
enthuse	entusiasmar
enthusiasm	entusiasmo
enthusiast	entusiasta
enthusiastic	entusiasta
entice	atraer
enticed	atraídos
enticingly	seductoramente
enticing	tentador
entrancing	fascinante
entrap	entrampar
entrapment	atrapamiento
entrust	confiar
enviable	envidiable
enviably	envidiablemente
envious	envidioso
enviously	envidiosamente
envy	envidia
epidemic	epidemia
equitable	equitativo
equivocal	equívoco
erase	borrar
ergonomical	ergonómico
erode	erosionar
erodes	erosiona
erosion	erosión
errant	errante
erratically	erráticamente
erratic	errático
err	errar
erroneous	erróneo
erroneously	erróneamente
errors	errores
erudite	erudito
eruptions	erupciones
escapade	escapada
eschew	evitar
estranged	distanciado
ethical	ético
eulogize	elogiar
euphoria	euforia
euphorically	eufóricamente
euphoric	eufórico
evade	evadir
evaluative	evaluativo
evasion	evasión
evasive	evasivo
evenly	igualmente
eventful	memorable
everlasting	eterno
evildoer	malhechor
evil	mal
evils	males
eviscerate	destripar
evocative	evocador
exacerbate	exacerbar
exagerated	exagerada
exaggerate	exagerar
exaggeration	exageración
exaltation	exaltación
exalted	exaltado
exaltedly	exaltadamente
exalt	exaltar
exalting	exaltando
exasperated	exasperada
exasperate	exasperar
exasperating	irritante
exasperatingly	exasperantemente
exasperation	exasperación
exceeded	excedido
exceed	exceder
exceeding	exceda
exceedingly	excesivamente
exceeds	excede
excelent	excelente
excellant	excelente
excelled	sobresalido
excellence	excelencia
excellency	excelencia
excellent	excelente
excellently	excelentemente
excel	sobresalir
excels	sobresale
exceptional	excepcional
exceptionally	excepcionalmente
excessive	excesivo
excessively	excesivamente
excited	excitado
excite	excitar
excitement	emoción
excites	excita
exciting	emocionante
excitingly	emocionante
exclusion	exclusión
excoriate	excoriar
excruciating	agudísimo
excruciatingly	insoportablemente
excuse	excusa
excuses	excusas
execrate	execrar
exellent	excelente
exemplar	ejemplar
exemplary	ejemplar
exhausted	agotado
exhaust	escape
exhaustion	agotamiento
exhilarate	regocijar
exhilarating	estimulante
exhilaration	regocijo
exhorbitant	exorbitante
exhort	exhortar
exile	exilio
exonerate	exonerar
exorbitant	exorbitante
exorbitantly	exorbitantemente
expansive	expansivo
expeditiously	expedita
expel	expulsar
expensive	caro
expertly	experta
expire	caducar
expired	caducado
explode	explotar
exploitation	explotación
exploit	explotar
explosive	explosivo
expropriate	expropiar
expropriation	expropiación
expulse	expulsar
expunge	borrar
exquisite	exquisito
exquisitely	exquisitamente
exterminate	exterminar
extermination	exterminio
extinguish	destruir
extol	ensalzar
extoll	ensalzar
extort	extorsionar
extortion	extorsión
extraneous	extraño
extraordinarily	extraordinariamente
extraordinary	extraordinario
extravagance	extravagancia
extravagant	extravagante
extravagantly	extravagantemente
extremism	extremismo
extremist	extremista
extremists	extremistas
exuberance	exuberancia
exuberant	exuberante
exuberantly	exuberantemente
exultant	jubiloso
exultation	exultación
exult	exultar
exultingly	exultantes
eye-catching	llamativo
eyecatching	llamativo
eye-catch	ojo-captura
eyesore	monstruosidad
fabricate	fabricar
fabrication	fabricación
fabulous	fabuloso
fabulously	fabulosamente
facetious	chistoso
facilitate	facilitar
failed	fracasado
fail	fallar
failing	defecto
fails	falla
failure	fracaso
failures	fracasos
faint	débil
fair	feria
fairly	bastante
fairness	justicia
faith	fe
faithful	fiel
faithfully	fielmente
faithfulness	fidelidad
faithless	desleal
fake	falso
fallacies	falacias
fallacious	erróneo
fallaciously	falsamente
fallaciousness	falacia
fallacy	falacia
fall	caer
fallen	caído
falls	caídas
false	falso
falsehood	falsedad
falsely	falsamente
falsify	falsificar
falter	desfallecer
faltered	tambaleado
famed	famoso
fame	fama
famine	hambre
famished	famélico
famous	famoso
famously	famosamente
fanatical	fanático
fanatically	fanáticamente
fanatic	fanático
fanaticism	fanatismo
fanatics	fanáticos
fancier	criador
fanciful	imaginario
fancy	fantasía
fanfare	fanfarria
fans	ventiladores
fantastically	fantásticamente
fantastic	fantástico
farce	farsa
farcical	absurdo
farcically	grotescamente
farfetched	rebuscado
fascinate	fascinar
fascinating	fascinante
fascinatingly	fascinantemente
fascination	fascinación
fascism	fascismo
fascist	fascista
fastidious	fastidioso
fastidiously	fastidiosamente
fast-paced	acelerado
fast	rápido
fastuous	fastuoso
fatalistically	fatalistamente
fatalistic	fatalista
fatally	fatalmente
fateful	fatídico
fatefully	fatídicamente
fat	grasa
fathomless	insondable
fatigued	fatigado
fatigue	fatiga
fatty	graso
fatuity	fatuidad
fatuous	fatuo
fatuously	fatuamente
fault	culpa
faultless	impecable
faults	fallas
faulty	defectuoso
favored	favorecido
favor	favorecer
favorited	favorito
favorite	favorito
favour	favorecer
fawningly	servilmente
faze	perturbar
fearful	temeroso
fear	miedo
fearsome	temible
fears	temores
feasible	factible
feasibly	factiblemente
feat	hazaña
feckless	irresponsable
feeble	débil
feign	fingir
feint	finta
feisty	luchadora
felicitate	felicitar
felicitous	feliz
felicity	dicha
felon	delincuente
felonious	criminal
ferociously	ferozmente
ferocity	ferocidad
fertile	fértiles
fervent	ferviente
fervently	fervorosamente
fervid	ardiente
fervidly	fervientemente
festive	festivo
fetid	fétido
fever	fiebre
feverish	febril
fevers	fiebres
fibber	mentiroso
fickle	voluble
fictional	ficticio
fiction	ficción
fictitious	ficticio
fidelity	fidelidad
fidget	agitarse
fidgety	nervioso
fiend	demonio
fiendish	diabólico
fierce	feroz
fiery	ardiente
figurehead	testaferro
filth	inmundicia
filthy	inmundo
fine	fino
finely	finamente
finer	finlandés
finicky	melindroso
fissures	fisuras
fist	puño
flabbergasted	asombrado
flagging	marcar
flagrant	flagrante
flagrantly	notoriamente
flair	instinto
flairs	ensanchamientos
flake	escama
flakey	escamosa
flaking	descamación
flaky	escamoso
flare	llamarada
flares	bengalas
flashy	ostentoso
flatter	halagar
flattering	halagüeño
flatteringly	halagadoramente
flaunt	ostentar
flawed	defectuoso
flaw	falla
flawless	perfecto
flaws	defectos
flee	huir
fleeing	huyendo
flees	huye
fleeting	fugaz
flexibility	flexibilidad
flickering	parpadeo
flicker	parpadeo
flickers	parpadeos
flighty	frívolo
flimsy	endeble
flirt	coquetear
flirty	coqueta
floored	solado
floundering	forcejeo
flounder	platija
flourish	florecer
flourishing	floreciente
fluent	fluido
fluster	aturdir
flutter	aleteo
foe	enemigo
fond	aficionado
fondly	afectuosamente
fondness	afición
fool	engañar
foolhardy	temerario
foolishly	neciamente
foolishness	necedad
foolish	tonto
forbidden	prohibido
forbidding	prohibiendo
forbid	prohibir
forceful	enérgico
foreboding	presentimiento
foremost	primero
foresight	previsión
forfeit	perder
forged	falsificado
forgetfulness	olvido
forgetful	olvidadizo
forlorn	abandonado
forsake	abandonar
forsaken	abandonado
forswear	abjurar
fortitude	fortaleza
fortuitous	fortuito
fortuitously	fortuitamente
fortunate	afortunado
fortunately	afortunadamente
fortune	fortuna
foul	falta
foully	asquerosamente
foulness	asquerosidad
fractious	díscolo
fracture	fractura
fragile	frágil
fragmented	fragmentado
fragrant	fragante
frail	frágil
frantically	frenéticamente
frantic	frenético
franticly	frenéticamente
fraud	fraude
fraudulent	fraudulento
fraught	tenso
frazzled	agotado
freaking	maldita
freakish	anormal
freakishly	monstruosamente
freak	monstruo
freaks	monstruos
freed	liberado
freedom	libertad
freedoms	libertades
free	gratis
freeze	congelar
freezing	congelación
frenetically	frenéticamente
frenetic	frenético
frenzied	frenético
frenzy	frenesí
fresh	fresco
fretful	irritable
frets	trastes
fret	traste
friction	fricción
frictions	fricciones
fried	frito
friendliness	amabilidad
friendly	amistoso
friggin	puto
frighten	asustar
frightening	aterrador
frighteningly	pavorosamente
frightful	espantoso
frightfully	espantosamente
fright	susto
frigid	frígido
frolic	fiesta
frost	helada
frown	ceño
froze	congeló
frozen	congelado
fruitful	fructífero
fruitless	infructuoso
fruitlessly	infructuosamente
frustrated	frustrado
frustrate	frustrar
frustrates	frustra
frustrating	frustrante
frustratingly	frustrante
frustration	frustración
frustrations	frustraciones
fucking	jodido
fuck	joder
fugitive	fugitivo
fulfillment	cumplimiento
fulminate	fulminar
fume	humo
fumes	humo
fundamentalism	fundamentalismo
fun	diversión
funky	miedoso
funnily	cómicamente
funny	divertido
furious	furioso
furiously	furiosamente
fury	furia
fuss	bulla
fussy	quisquilloso
fustigate	fustigar
fusty	mohoso
futile	fútil
futilely	inútilmente
futility	futilidad
futuristic	futurista
fuzzy	borroso
gabble	parloteo
gaffe	patinazo
gaff	garfio
gaiety	alegría
gaily	alegremente
gained	ganado
gainfully	remunerado
gainful	remunerativo
gain	ganancia
gaining	negociación
gainsay	contradecir
gains	prima
gallant	galante
gallantly	gallardamente
gall	hiel
galling	mortificante
galls	agallas
gangster	gángster
garbage	basura
garish	llamativo
gasp	grito
gauche	desmañado
gaudy	llamativo
gawky	desgarbado
geeky	geek
geezer	vejestorio
gem	joya
gems	gemas
generosity	generosidad
generous	generoso
generously	generosamente
genius	genio
genocide	genocidio
gentle	suave
genuine	genuino
ghastly	horrible
ghetto	gueto
gibber	farfullar
gibberish	algarabía
gibe	burla
giddy	mareado
gifted	dotado
gimmicked	trucada
gimmicks	trucos
gimmick	truco
gimmicky	efectista
glad	contento
gladden	alegrar
gladness	alegría
glamorous	atractivo
glare	deslumbramiento
glaringly	deslumbrante
gleeful	jubiloso
gleefully	alegremente
glee	júbilo
glib	elocuente
glimmering	resplandeciente
glistening	brillante
glisten	relucir
glitter	purpurina
glitz	brillo
gloom	penumbra
gloomy	triste
glorify	glorificar
glorious	glorioso
gloriously	gloriosamente
glory	gloria
glow	brillar
glowing	brillante
glowingly	elogiosamente
glum	sombrío
glut	superabundancia
gnawing	roer
goad	aguijón
god-awful	espantoso
godlike	divino
godsend	bendición
golden	dorado
gold	oro
good	bueno
good	buena
good	buenos
good	buenas
good	well
goodly	hermoso
goodness	bondad
goof	bobo
goofy	mentecato
goon	matón
gorgeously	magníficamente
gorgeous	maravilloso
gossip	chismes
graceful	agraciado
gracefully	graciosamente
grace	gracia
gracious	gracioso
graciously	graciosamente
graciousness	gracia
graft	injerto
grainy	granoso
grandeur	grandeza
grand	magnífico
grapple	luchar
grateful	agradecido
grate	reja
gratification	gratificación
gratified	gratificado
gratifies	gratifica
gratifying	gratificante
gratifyingly	gratificantemente
gratify	satisfacer
grating	rejilla
gratitude	agradecimiento
gravely	gravemente
greasy	grasiento
greatest	mayor
great	gran
greatness	grandeza
greed	codicia
greedy	codicioso
grief	dolor
grievance	queja
grievances	quejas
grieve	afligirse
grieving	duelo
grievous	grave
grievously	gravemente
grimace	mueca
grim	severo
grind	moler
grin	sonrisa
gripe	queja
gripes	cólicos
grisly	espeluznante
gritty	arenoso
gross	bruto
grossly	gravemente
grotesque	grotesco
grouch	gruñón
grouchy	malhumorado
groundbreaking	innovador
groundless	infundado
grouse	queja
growl	gruñido
grudge	rencor
grudges	rencores
grudging	avaro
gruesome	horrible
gruesomely	horriblemente
gruff	brusco
grumble	queja
grumpier	gruñón
grumpily	gruñonamente
grumpy	gruñón
guarantee	garantía
guidance	dirección
guile	engaño
guilt	culpa
guiltily	culpablemente
guiltless	inocente
guilty	culpable
gullible	crédulo
gumption	agallas
gush	chorro
gusto	entusiasmo
gutsy	valiente
gutter	canalón
hack	corte
haggard	ojeroso
haggle	regatear
hail	granizo
hale	sano
hallmark	contraste
hallmarks	características
hallowed	santificado
hallucinate	alucinar
hallucination	alucinación
hampered	obstaculizado
hamper	estorbar
handicapped	discapacitados
handily	cómodamente
handsome	guapo
handsomely	generosamente
handy	práctico
hang	caída
hangs	cuelga
hapless	desventurado
happily	felizmente
happiness	felicidad
happy	feliz
harangue	arenga
harass	acosar
harassed	acosado
harasses	acose
harassment	acoso
harbors	puertos
hardball	béisbol
hard	duro
harden	duro
hardened	curtido
hardship	privación
hardships	dificultades
hard-working	trabajador
hardy	resistente
harm	daño
harmed	perjudicado
harmful	perjudicial
harmless	inofensivo
harmonious	armonioso
harmoniously	armoniosamente
harmonize	armonizar
harmony	armonía
harpy	arpía
harridan	bruja
harrow	grada
harsh	áspero
harshly	duramente
hassle	molestia
hassles	molestias
haste	prisa
hastily	precipitadamente
hasty	apresurado
hated	odiado
hatefully	odio
hatefulness	odiosidad
hateful	odioso
hate	odio
haters	enemigos
hates	odios
hating	odiando
hatred	odio
haughtily	altivamente
haughty	altivo
haunting	obsesionante
haunt	rondar
havoc	estragos
haywire	loco
hazardous	peligroso
hazard	peligro
haze	neblina
hazy	brumoso
headway	progreso
heal	sanar
healthful	sano
healthy	saludable
heartbreaker	rompecorazones
heartbreaking	angustioso
heartbreakingly	desgarradoramente
hearten	corazón
heartening	alentador
heartfelt	cordial
heartily	sinceramente
heartless	insensible
heartwarming	reconfortante
heathen	pagano
heaven	cielo
heavenly	celestial
heck	infierno
hectic	frenético
hedge	cobertura
hedonistic	hedonista
heedless	desatento
hefty	fuerte
hegemonism	hegemonismo
hegemonistic	hegemonística
hegemony	hegemonía
heinous	atroz
hell-bent	empeñado
hell	infierno
hells	infiernos
helped	ayudado
helpful	útil
helping	ayudar
helpless	impotente
helplessness	impotencia
heresy	herejía
heretical	herético
heretic	hereje
hero	héroe
heroically	heroicamente
heroic	heroico
heroine	heroína
hesitant	vacilante
hideous	horrible
hideously	horriblemente
hideousness	fealdad
hilarious	hilarante
hinder	dificultar
hindrance	obstáculo
hissed	siseado
hissing	silbido
hiss	silbido
hoard	acumulación
hoax	engaño
hobble	cojera
hogs	cerdos
ho-hum	aburrida
hollow	hueco
holy	santo
homage	homenaje
honest	honesto
honesty	honestidad
honored	honrado
honoring	homenaje
hoodwink	engañar
hooligan	gamberro
hooray	hurra
hopeful	esperanzado
hopelessness	desesperación
horde	horda
horrendous	horrendo
horrendously	horrendamente
horrific	horrendo
horrified	horrorizado
horrifies	horroriza
horrify	horrorizar
horrifying	horripilante
hospitable	hospitalario
hostage	rehén
hostile	hostil
hostilities	hostilidades
hostility	hostilidad
hotbeds	semilleros
hot	caliente
hotheaded	exaltado
hothead	exaltado
hothouse	invernáculo
huckster	mercachifle
hug	abrazo
humane	humano
humble	humilde
humid	húmedo
humiliate	humillar
humiliating	humillante
humiliation	humillación
humility	humildad
humming	zumbador
humorous	humor
humour	humor
humourous	chistoso
hum	zumbido
hurt	daño
hurtful	hiriente
hurting	lastimar
hustler	estafador
hype	bombo
hypocricy	hipocresía
hypocrisy	hipocresía
hypocrite	hipócrita
hypocrites	hipócritas
hypocritical	hipócrita
hypocritically	hipócritamente
hysteria	histeria
hysterical	histérico
hysterically	histéricamente
hysteric	histérico
hysterics	histerismo
idealize	idealizar
ideally	idealmente
idiocies	idioteces
idiocy	idiotez
idiotically	idiota
idiotic	idiota
idiot	idiota
idiots	idiotas
idle	ocioso
idol	ídolo
idolized	idolatrado
idolize	idolatrar
idyllic	idílico
ignoble	innoble
ignominious	ignominioso
ignominiously	ignominiosamente
ignominy	ignominia
ignorance	ignorancia
ignorant	ignorante
ill-advised	desaconsejado
illegal	ilegal
illegally	ilegalmente
illegitimate	ilegítimo
ill-fated	malogrado
ill-favored	feo
illicit	ilícito
illiterate	analfabeto
ill-mannered	maleducado
ill-natured	malévolo
illness	enfermedad
illogical	ilógico
illogically	ilógicamente
illuminate	iluminar
illuminating	iluminador
illumine	iluminar
illusion	espejismo
illusions	ilusiones
illusory	ilusorio
illustrious	ilustre
imaculate	impecable
imaginary	imaginario
imaginative	imaginativo
imbalance	desequilibrio
imbecile	imbécil
imbroglio	embrollo
immaculate	inmaculado
immaculately	inmaculadamente
immaterial	inmaterial
immature	inmaduro
immense	inmenso
imminence	inminencia
imminently	inminentemente
immobilized	inmovilizado
immoderate	inmoderado
immoderately	inmoderadamente
immodest	inmodesto
immoral	inmoral
immorality	inmoralidad
immorally	inmoralmente
immovable	inamovible
impaired	deterioro
impair	perjudicar
impartial	imparcial
impartiality	imparcialidad
impartially	imparcialmente
impassioned	apasionado
impatience	impaciencia
impatient	impaciente
impatiently	impacientemente
impeach	procesar
impeccable	impecable
impeccably	impecablemente
impedance	impedancia
impede	impedir
impediment	impedimenta
impending	inminente
impenitent	impenitente
imperfect	imperfecto
imperfection	imperfección
imperfectly	imperfectamente
imperious	imperioso
imperiously	imperiosamente
impermissible	inadmisible
impertinent	impertinente
impetuous	impetuoso
impetuously	impetuosamente
impiety	impiedad
impinge	invadir
impious	impío
implausible	increíble
implausibly	inverosímilmente
implicate	implicar
implication	implicación
implode	implosionar
impolite	descortés
impolitic	impolítico
important	importante
importunate	importuno
importune	importunar
impose	prescribir
imposing	colonial
imposition	imposición
impossible	imposible
impossibly	imposiblemente
impotent	impotente
impoverished	empobrecido
impoverish	empobrecer
imprecate	imprecar
imprecise	impreciso
imprecisely	imprecisa
imprecision	imprecisión
impressed	impresionado
impresses	impresiona
impress	impresionar
impressive	impresionante
impressively	impresionantemente
imprison	aprisionar
imprisonment	encarcelamiento
improbability	improbabilidad
improbably	improbablemente
improper	impropio
improperly	indebidamente
impropriety	impropiedad
improved	mejorado
improve	mejorar
improvement	mejora
improvements	mejoras
improves	mejora
improving	mejorar
imprudence	imprudencia
imprudent	imprudente
impudence	impudencia
impudent	impudente
impudently	impudentemente
impugn	impugnar
impulsive	impulsivo
impulsively	impulsivamente
impunity	impunidad
impure	impuro
impurity	impureza
inability	incapacidad
inaccuracies	inexactitudes
inaccuracy	inexactitud
inaccurate	inexacto
inaccurately	inexactamente
inaction	inacción
inactive	inactivo
inadequacy	insuficiencia
inadequate	insuficiente
inadequately	inadecuadamente
inadvisable	desaconsejable
inanely	estúpidamente
inappropriate	inapropiado
inappropriately	inapropiadamente
inapt	inepto
inaptitude	ineptitud
inarticulate	inarticulado
inattentive	inatento
incapable	incapaz
incautious	incauto
incendiary	incendiario
incense	incienso
incessant	incesante
incessantly	incesantemente
incite	incitar
incitement	incitación
incivility	incivilidad
inclement	inclemente
incognizant	ignorante
incoherence	incoherencia
incoherent	incoherente
incoherently	incoherentemente
incommensurate	inconmensurable
incomparably	incomparablemente
incompatability	incompatibilidad
incompatibility	incompatibilidad
incompetence	incompetencia
incompetent	incompetente
incompetently	incompetente
incomplete	incompleto
incomprehensible	incomprensible
incomprehension	incomprensión
inconceivably	inconcebiblemente
incongruous	incongruente
incongruously	incongruentemente
inconsequential	inconsecuente
inconsequent	inconsecuente
inconsequently	inconsecuentemente
inconsiderate	desconsiderado
inconsiderately	desconsideradamente
inconsistencies	inconsistencias
inconsistency	inconsecuencia
inconsistent	inconsistente
inconsolably	inconsolablemente
inconstant	inconstante
inconvenience	inconveniencia
inconveniently	inconvenientemente
incorrect	incorrecto
incorrectly	incorrectamente
incorrigible	incorregible
incorrigibly	incorregible
incredible	increíble
incredibly	increíblemente
incredulous	incrédulo
incredulously	incredulidad
inculcate	inculcar
indebted	endeudado
indecency	indecencia
indecent	indecente
indecently	indecentemente
indecision	indecisión
indecisive	indeciso
indecisively	indeciso
indecorum	indecoro
indefensible	indefendible
indeterminate	indeterminado
indifference	indiferencia
indifferent	indifférent
indigent	indigente
indignant	indignado
indignation	indignación
indignity	indignidad
indiscreet	indiscreto
indiscreetly	indiscretamente
indiscretion	indiscreción
indiscriminate	indistinto
indiscriminately	indiscriminadamente
indiscriminating	indiscriminada
indistinguishable	indistinguible
individualized	individualizados
indoctrinate	adoctrinar
indoctrination	adoctrinamiento
indolent	indolente
indulge	complacer
indulgence	indulgencia
indulgent	indulgente
industrious	industrioso
ineffective	ineficaz
ineffectively	ineficazmente
ineffectiveness	inoperancia
ineffectual	ineficaz
ineffectually	ineficazmente
ineffectualness	ineficacia
inefficacious	ineficaz
inefficacy	ineficacia
inefficiency	ineficacia
inefficient	ineficiente
inefficiently	ineficientemente
ineligible	inelegible
inept	inepto
ineptitude	ineptitud
ineptly	ineptitud
inequality	desigualdad
inequitably	inequitativamente
inequities	desigualdades
inescapable	inevitable
inescapably	ineludiblemente
inestimably	inestimablemente
inevitably	inevitablemente
inexcusably	inexcusablemente
inexorably	inexorablemente
inexpensive	barato
inexperienced	despistados
inexperience	inexperiencia
inexpert	inexperto
inexpertly	inexpertamente
inextricably	inextricablemente
infallibility	infalibilidad
infallible	infalible
infallibly	infaliblemente
infamous	infame
infamously	infamemente
infamy	infamia
infected	infectado
infection	infección
infections	infecciones
inferiority	inferioridad
infested	infestada
infest	infestar
infidel	infiel
infidels	infieles
infiltrator	infiltrado
infiltrators	infiltrados
infirm	enfermizo
inflame	inflamar
inflammation	inflamación
inflammatory	inflamatorio
inflammed	inflamado
inflated	inflado
inflationary	inflacionista
inflict	infligir
influential	influyente
infraction	infracción
infringe	infringir
infringement	infracción
infringements	infracciones
infuriated	enfurecido
infuriate	enfurecer
infuriating	exasperante
infuriatingly	exasperantemente
ingenious	ingenioso
ingeniously	ingeniosamente
ingenuity	ingenio
ingenuous	ingenuo
ingenuously	ingenuamente
inglorious	ignominioso
ingratitude	ingratitud
inhibit	inhibir
inhibition	inhibición
inhospitable	hostil
inhumane	inhumano
inhuman	inhumano
inhumanity	inhumanidad
inimical	hostil
inimically	hostilmente
iniquitous	inicuo
iniquity	iniquidad
injure	lesionar
injurious	perjudicial
injury	lesión
injustice	injusticia
injustices	injusticia
innocuous	inocuo
innovation	innovación
innovative	innovador
innuendo	insinuación
inopportune	inoportuno
inordinate	desordenado
inordinately	desmesuradamente
insane	demente
insanely	locamente
insanity	locura
insatiable	insaciable
insecure	inseguro
insecurity	inseguridad
insensitive	insensible
insensitively	insensiblemente
insensitivity	insensibilidad
insidious	insidioso
insidiously	insidiosamente
insightfully	perspicacia
insightful	perspicaz
insignificance	insignificancia
insignificant	insignificante
insignificantly	insignificantemente
insincere	insincero
insincerely	insinceramente
insincerity	insinceridad
insinuate	insinuar
insinuating	insinuante
insinuation	insinuación
insolence	insolencia
insolent	insolente
insolently	insolentemente
insolvent	insolvente
insouciance	despreocupación
inspirational	inspirado
inspiration	inspiración
inspiring	inspirador
instability	inestabilidad
instable	inestable
instantly	instantáneamente
instigate	instigar
instigator	instigador
instigators	instigadores
instructive	instructivo
insubordinate	insubordinado
insubstantial	insubstancial
insubstantially	insustancial
insufferable	insufrible
insufferably	insufriblemente
insufficiency	insuficiencia
insufficient	insuficiente
insufficiently	insuficientemente
insulted	insultado
insulting	insultante
insultingly	insultantemente
insult	insulto
insults	insultos
insupportable	insoportable
insupportably	insoportablemente
insurmountable	insuperable
insurmountably	insuperablemente
insurrection	insurrección
integral	exhaustivo
integrated	integrado
intelligence	inteligencia
intelligent	inteligente
intelligible	inteligible
intense	intenso
interesting	interesante
interests	intereses
interfere	interferir
interference	interferencia
interferes	interfiere
intermittent	intermitente
interrupt	interrumpir
interruption	interrupción
interruptions	interrupciones
intimacy	intimidad
intimate	íntimo
intimidate	intimidar
intimidating	intimidante
intimidatingly	intimidantemente
intimidation	intimidación
intolerance	intolerancia
intoxicate	intoxicar
intractable	intratable
intransigence	intransigencia
intransigent	intransigente
intricate	intrincado
intrigue	intriga
intriguingly	curiosamente
intriguing	secreto
intrude	entrometerse
intrusion	intrusión
intrusive	intruso
intuitive	intuitivo
inundated	inundados
inundate	inundar
invader	invasor
invalidate	invalidar
invalid	inválido
invalidity	invalidez
invaluable	inestimable
invasive	invasor
