stress	estresa
laughably	barreka
traction	trakzioa
bogus	faltsua
lost	galdua
ignominious	ezjakinak
intrude	intrusioa
recant	errekurtsoa
overture	obertura
uneasiness	deserosotasuna
evils	gaitzak
improved	hobetu
unwise	zentzugabe
suppress	kendu
tainted	imitatu
apathetically	apatikoki
coherence	koherentzia
instability	ezegonkortasuna
acrid	akrilikoa
famous	ospetsua
disruption	etenaldia
desperately	etsipenez
gallingly	gaztea
loose	askorekin
disbelieve	ezkondu
saintliness	santasuna
abundance	ugaritasuna
mist	laino
rich	aberatsa
complementary	osagarri
rejuvenated	gaztetu
turmoil	turbulentzia
untruthful	gezurti
astounded	harritu
wound	zauria
endorsement	onarpena
decay	desintegrazioa
cruelties	krudelkeria
alienated	alienatua
caustically	kaustikoki
vicious	bihozgabe
parody	parodia
joyously	zorionez
healthy	osasuntsua
empower	indartu
trophy	garaikurra
illicit	ilegala
misgiving	zoritxarrez
advantageous	abantailatsua
defensive	defentsa
destructive	suntsitzailea
dizzingly	zorrotz
unleash	askatu
rumor	zurrumurrua
cooperatively	kooperatiboki
far-fetched	urrun
graceful	grazia
enthusiastic	gogotsu
attractively	erakargarri
coldly	hotz
suspect	susmagarri
viciousness	bihozgabekeria
fictional	fikziozkoak
calumniation	kalumnia
abolish	abolitu
backbone	bizkarrezurra
decisiveness	erabakitzeko
harden	gogoratu
poorer	pobreago
fearsome	beldurgarria
upsetting	atsekabe
frictions	frikzioak
convenience	erosotasuna
deteriorating	hondatzea
stylishly	dotorea
imminently	etengabe
detachable	desmunta
agile	arin
warlike	gudua
obtainable	eskuragarria
confined	mugatua
writhe	idatzi
disorder	desordena
famously	ospetsua
blissfully	zorionez
tyranny	tirania
intelligence	adimena
decrepitude	errudun
pitilessly	zoritxarrez
fatal	heriotza
remarkably	nabarmen
accessible	eskuragarria
appalled	eskas
catastrophe	hondamena
keen	gogotsua
corrosive	korrosiboak
compassionate	errukitsua
dauntless	laztana
well	ondo
disinclined	desinfektatu
undignified	lotsagarri
incorrectly	gaizki
frighten	beldurtu
jubilate	jubilatu
efficiently	eraginkortasunez
positively	positiboki
cataclysmic	kataklismikoa
marvelously	zoragarria
freedoms	askatasunak
straining	tentsioa
hectic	harrigarria
wretchedly	zoritxarrez
great	handia
desultory	desolatu
funny	dibertigarria
easygoing	erraza
acrimonious	zorrotz
protection	babes
inconceivably	ulertezina
urgent	urgentea
refusing	baztertzen
dissidents	disidenteak
celebratory	ospakizuna
distortion	distortsioa
manageable	kudeagarria
exceeding	gainditzea
coupists	kupoiak
lifeless	hilda
propitious	egokia
reluctant	errezeloa
cowardly	koldarra
enjoyable	atsegina
adulate	adulatu
trump	trumoia
biases	prezioak
incoherently	inkoherentea
criticizing	kritikatzen
unhealthy	osasungaitz
chaste	txakur
recomend	gomendatzen
shameful	lotsagarria
toughness	gogortasuna
uproarious	zalaparta
fertile	emankorrak
admonition	amonizazio
congratulation	zorionak
confusing	nahasgarria
sparkling	txinpartatsu
heretic	heretikoa
revolt	matxinada
unkindly	ezatsegin
disorderly	desordena
unfortunately	zoritxarrez
hypocritically	hipokritikoki
appreciative	estimagarria
demonized	demonizatu
slow	motela
impoverished	urritasuna
screwy	bihurritu
intimidation	intimidazioa
broke	hautsi
unable	ezin
cloudy	lainoak
bulkiness	bulkada
lazy	alferrak
presumptuous	ustez
richer	aberatsagoa
fanatic	fanatiko
picky	hautakorra
mirage	miraria
battering	bortxatzea
imbalance	desoreka
mature	helduak
troublesomely	gogaikarria
negate	negatiboa
distressingly	zoritxarrez
eyesore	begiak
hypocritical	hipokresia
energetic	energetikoa
astray	baztertu
regretted	damutu
needy	behartsu
caustic	kaustikoa
appalling	izugarria
dissuade	desegiteko
soreness	mina
restructuring	berregituratzea
wretch	zorigaiztoko
malodorous	malodoroak
displeased	desatsegin
astonishment	harridura
malaise	ezinegona
insightfully	sutsuki
favorable	ona
enthusiast	zalea
farce	fartsa
avidly	abidly
impunity	impunitatea
amazed	harritu
resignation	dimisioa
naïve	inozoa
strenuous	gogorra
unbearablely	jasanezin
triumph	garaipena
disdained	desatsegin
degeneration	endekapen
successful	arrakastaz
upliftingly	eredugarria
unspecified	zehaztugabea
atrocity	itzelkeria
sluggish	geldoegi
sturdier	gogorragoa
mockery	burla
wrath	haserre
stumbled	tropa
staunchness	lantzea
astonish	harrigarria
riled	irribarretsu
symptom	sintoma
intuitive	intuitiboa
gold	urrea
spewing	egotziz
overwhelmingly	erabatekoa
retaliate	erraldoi
cloud	hodeia
undid	desegina
provocation	probokazioa
fallacious	falazia
energy-efficient	energia-eraginkorra
discrepant	diskrepant
bug	akatsa
irrecoverablenesses	berreskuraezintasunak
siege	setioa
knife	labana
diss	dis
inconsequent	desegokiak
fallaciously	erori
slower	motelago
hardheaded	gogorra
empowerment	jabekuntza
implication	inplikazioa
stole	lapurtu
envious	inbidia
antagonism	antagonismo
thrift	alferrik
panicked	pankarta
treason	traizio
altruistic	altruista
backaching	kexatzen
exceptionally	salbuespenez
discouragement	desadostasuna
scams	iruzurrak
exultingly	zorionez
invasive	inbaditzaileak
torment	oinazea
groundbreaking	aitzindaria
cheapen	merkea
impractical	eskuzabala
poison	pozoia
gladness	zorionak
fractiously	hauskorra
pleasant	atsegina
discordance	desadostasuna
suitable	egokia
shemale	bizarra
euphoria	euforia
disrespectable	ezezaguna
euphorically	euforikoki
worthy	merezi
involuntary	nahigabeko
imminence	inimenak
displace	desplazatu
impudent	lotsagabe
disillusionment	desilusioa
regress	itzuli
helplessly	urritasuna
improvements	hobekuntzak
frustrated	zapuztuta
eloquence	elokuentzia
dictatorial	diktadorea
spite	gorrotoa
elegant	dotorea
fracture	haustura
worsen	larriagotu
disorient	desorientatua
protective	babeslea
revelation	errebelazioa
peacefully	bakean
baffled	nahastua
strident	zoragarria
wrest	kendu
promise	promesa
wripping	urratzen
joy	poza
fragile	hauskorra
feeblely	zoritxarrez
smallish	txikiak
picketing	piketea
penalty	zigorra
sneaky	isilean
disparaging	desberdintasun
forsaken	ahaztuta
sinking	hondoratzen
unwavering	gogorra
autocratic	autokrata
disadvantageous	desatsegina
delicacy	jaki
precarious	prekarioa
touchy	ukitu
pales	palak
prosperous	oparoa
warped	ahuldu
vibration	bibrazioak
victorious	garaile
stupidly	ergelki
delaying	atzeratzea
astutely	zoritxarrez
insolvent	konkurtsoa
diabolical	diaboliko
carnage	sarraskia
preferring	nahiago
capable	gai
imperil	inperio
mischievously	gaizki
disoriented	desorientatua
muddle	aldaketarik
sharply	nabarmenki
treasure	altxorra
selective	selektiboa
disrespectful	irresponsabilitatea
dump	iraulketa
contentious	kontuz
fearlessly	beldurrez
downer	behera
disagrees	desadostasunak
drips	jipoiak
stainless	herdoilgaitz
pride	harrotasuna
sardonically	sardonikoki
dishonest	gaizki
disunity	desunitatea
dumb	mutu
ulterior	geroago
enviousness	inbidia
malevolent	gaiztoa
precious	preziatuak
miracles	mirariak
smoothest	leunagoa
abounds	abound
endearing	liluragarria
inequality	desberdintasuna
critic	kritikaria
congenial	amankomea
woe	atsekabea
righteousness	zuzentasuna
allergies	alergiak
grudges	ahantziak
condemn	kondenatu
illusion	ilusioa
clash	borrokaldi
intelligible	ulergarria
unthinkable	pentsaezina
restlessness	lasaitasun
sweeten	gozatu
irredeemable	irribarrez
wearisome	nekatuta
racy	arrazista
greedy	diruzalea
recklessly	ustekabean
concen	kontzentrazioa
dismay	harridura
deformed	deformatua
hospitable	abegitsua
perfidious	perfidia
disaster	hondamendia
irately	gorrotoz
harmonize	harmonizatu
amenity	amenitatea
brutalizing	bortitzatzen
enlighten	argitu
punch	zulatu
mind-blowing	gogaikarria
victimize	biktimizatzeko
deceitfully	zoritxarrez
pains	minak
slander	kalumniatu
comely	ondo
worsening	larriagotu
rhetorical	erretorikoa
excessively	gehiegi
self-sufficiency	autosufizientzia
condemns	kondenatzen
rust	herdoila
disbeliever	ezkondua
stutter	etzanda
complicit	konplize
disgust	nazkagarria
spirited	espirituala
calumniate	kalumnia
satisfied	pozik
foe	etsaia
deform	deformatu
blaspheme	blasfemak
insolent	errukitsua
receptive	harkorra
failure	porrota
negativity	negatibitatea
rile	azazkal
brilliances	distirak
restriction	murrizketa
outburst	irteera
intolerablely	intolerable
distressing	gogaikarria
innovative	berritzailea
record-setting	erregistro-ezarpena
contemptible	ahaztezina
draining	drainatzea
thoughtful	pentsakor
loving	maitekorra
intrusive	intrusiboa
enchanted	sorginduta
unintelligible	ulertezin
virus	birusa
chastisement	kastigintza
hates	gorrotoa
delighted	pozik
dense	trinko
skeptic	eszeptikoa
promises	promesak
beautiful	eder
catastrophic	hondamendi
precipitous	bizkor
advantageously	abantailatsu
fat	gantz
marvel	zoragarria
convoluted	konvoluted
dreary	zoritxarrekoa
appropriate	egokia
attraction	erakarpena
stereotypically	estereotipatuki
meticulous	zorrotz
heartbreakingly	bihotz-erdiragarri
undetermined	zehaztugabea
clears	garbitu
stigma	estigma
worriedly	kezkatuta
delusional	delirio
infection	infekzioa
greasy	koipetsua
appealing	erakargarria
ambivalence	anbibalentzia
traitor	traidorea
dubitable	zoragarria
useable	erabilgarriak
renewed	berrituta
liability	erantzukizuna
undermining	ahuldu
diplomatic	diplomatikoa
symptoms	sintomak
ecstasies	ekstasi
gainful	irabazi
twist	bihurritu
conspirator	konspiratzailea
imperfectly	inperfektua
conflict	gatazka
invincible	invencible
allergic	alergia
skeptically	eszeptikoan
rail	trenbide
starve	gosez
intractable	ezinezkoa
covetous	aberatsa
disdainfully	zoritxarrez
overturn	berreskuratzea
bombastic	bonbastarra
pig	txerri
epidemic	epidemia
stark	zorrotz
successes	arrakasta
speedy	azkar
sufferer	gaixo
fleer	arbolak
lackluster	faltagabea
assuring	bermatuz
disagreeing	desadostasuna
felicitous	zoriontsu
interests	interesak
expunge	desegin
unrelentingly	gupidagabe
cheer	animatu
capability	gaitasuna
ill-tempered	malgua
sensible	sentikorra
infallibly	infalibly
defamations	defamak
proactive	proaktiboa
drags	arrastatu
gutless	koldar
pleasingly	zorionez
glamorous	glamourra
concession	emakida
attractive	erakargarria
drunk	edan
wretched	zoragarria
elegance	dotorezia
obscures	ilunpetan
murderously	hiltzen
bitterness	amargura
demoralizing	demoralizatzea
talented	talentua
abyss	amildegi
savagery	basatiak
imperialist	inperialista
impartially	inpartzialki
uproarous	zalaparta
wealthy	aberatsak
omission	omisioa
inconstant	konstante
inconveniently	desegoki
tempt	tentazioa
celebrated	ospatu
rejuvenate	gaztetu
hegemony	hegemonia
calamitously	kalamitously
right	eskubidea
malevolently	gaizki
disdainful	ezezaguna
fruitless	fruitua
coherent	koherente
stunningly	zoragarria
unjust	bidegabe
blind	itsu
slut	puta
creaking	gurutzean
fragrant	lurrina
snobs	esnobak
amity	amatasuna
savages	basatiak
charmingly	xarmagarria
apathetic	apatia
susceptible	susmagarria
comfortably	eroso
incongruous	inozoa
traumatic	traumatikoa
spurious	ezpurutasunik
dubiously	zalantzazkoa
fiendish	zoragarria
subversively	subertsiboki
unusually	ohiz
inefficient	eraginkorra
acclamation	aitamena
impossibly	ezinezkoa
impiety	inbidia
handy	erabilgarri
consummate	kontsumitu
delightful	ederra
immense	izugarria
fraudulent	iruzurrezkoak
relentlessly	etengabe
falling	erortzen
golden	urrea
extraneous	kanpoko
corrode	korroda
defeats	garaipenak
wholesome	osasuntsua
belligerence	beligerantzia
credence	kredentziala
bruised	ubeldura
tremendously	izugarri
rotten	ustel
talent	talentua
embarrassingly	lotsagarria
regretful	damua
dawn	egunsentia
posturing	postura
bloody	odoltsua
curses	madarikazioak
obsessiveness	obsesio
soundly	soinu
lackeys	laztana
costlier	kostata
reckless	errukitsua
mighty	ahaltsua
audaciousness	ausarkeria
revenge	mendekua
admirable	miresgarria
disrespectfully	irresponsiboki
courageously	ausarki
brilliantly	bikain
relish	atsegin
dissolution	disoluzioa
dispensable	ezinbestekoa
modesty	apaltasuna
prisoner	preso
bewildered	harrituta
low-price	behe-prezioa
hindrance	oztopo
lucky	zortea
jeeringly	zentzuzkoa
absurdness	absurdua
achey	minduta
conspicuous	nabarmena
frustration	frustrazioa
denying	ukatuz
lawbreaker	lege-hauste
unreachable	ezinezkoa
realizable	eraginkorra
aggression	erasoak
lurking	lurpean
savaged	salbatuta
majesty	maiestatea
deter	detektatu
decrepit	gutxitu
tyrant	tirano
acclaim	ongietorria
incompetently	ezgai
excellent	bikaina
strongest	indartsua
reprehension	errepikapena
rot	usteldura
rivalry	lehia
expansive	zabala
favorited	gogokoagoa
weary	nekatuta
disproportionate	desproportionatua
anti-social	antisozialak
sporadic	esporadikoa
agreeableness	adiskidetasuna
misgivings	zalantzak
useful	erabilgarria
rascal	bihurria
downgrade	beheratu
principled	printzipioa
passionately	sutsuki
fascist	faxista
rapturous	eztanda
destroy	suntsitu
reprimand	amesgaiztoa
break-ups	hausturak
rightfully	eskubidea
drowning	ito
regrettable	zoragarria
uneven	desberdin
shroud	jantzi
soapy	xaboitsua
tranquility	lasaitasuna
unintelligile	ulertezin
halfhearted	zorionak
odor	usain
marvellous	zoragarria
cliche	klikhean
meaningless	zentzugabea
virulent	birulentzia
disquieting	gogaikarria
impudence	lotsagabetasuna
accusation	akusazioa
recession	atzeraldi
temper	tenperatura
fondly	zorionez
flaws	akatsak
offence	delitua
insubstantially	errugabea
unforeseen	ezustekoak
douchebag	ergela
incredible	sinestezina
irragularity	irragarritasuna
war-like	gerra-antzekoa
poisonous	pozoitsu
lackadaisical	faltaadaizkoa
freezes	izoztu
enmity	etsaitasuna
irrelevance	irrilevanti
doom	zorabioa
shipwreck	naufragio
arbitrary	arbitrarioa
nauseating	nazkatzen
allege	aliatu
tenderly	samur
finest	hobeak
works	lanak
pleasing	atsegina
warmth	berotasuna
dissed	dised
complements	osagarriak
offensive	iraingarritzat
darken	ilunpetan
disarray	desarray
catastrophes	hondamendiak
vagueness	zurrumurrua
detrimental	kaltegarria
shocked	harritua
steals	lapurtu
raving	erruki
evaluative	ebaluatzailea
warmhearted	beroa
distraughtly	distralyly
trustingly	fidagarria
streaky	maiz
speedily	azkar
sophisticated	sofistikatua
unsteadiness	ezegonkortasuna
downsides	desegokiak
bad	txarra
afflict	afaltzera
mysteriously	misteriotsu
election-rigger	hauteskunde-arduraduna
glad	pozik
crappy	txarra
downside	arazotxo
illogic	ilogikoa
reclaim	berreskuratzea
improbability	inprobability
loyalty	leialtasuna
addicts	adituei
measly	neurriz
unbelievable	sinesgaitza
freezing	izozteak
gentlest	zoriontsuena
radical	erradikala
severe	larria
rewardingly	aberasgarria
rage	amorrua
hung	zintzilikatu
mistress	maitale
leaks	ihesak
stains	orbanak
flounder	berrogei
blasphemy	blasphemia
self-destructive	auto-suntsitzailea
passionate	sutsua
cons	konts
strangely	bitxikeria
unbelievably	sinesgaitz
immorally	gaizki
straggler	estraggler
foolishness	ergelkeria
explosive	lehergai
dissention	diskete
hardship	oinaze
unlamentably	deitoragarri
faultless	gaizki
generous	eskuzabala
nourishing	elikatzen
scoffingly	sorginkeriak
distinction	bereizketa
securely	segurtasunez
aweful	beldurgarria
idealize	idealizatu
inconceivable	ulertezina
resentment	erresumina
hardliner	gogorra
flagrant	bortitza
culpable	gudua
violently	bortizki
humility	apaltasuna
criminal	zigor
entertain	entretenigarri
upgraded	berritua
distorted	distortsionatua
wrought	landu
peculiar	bitxiak
unclean	kutsatu
monstrosity	monstruitatea
brashness	beldurra
rational	arrazionala
complaint	kexa
honest	zintzoa
confessions	konfesioak
radically	erradikalki
oasis	oasi
cringed	gurutzatu
unforgettable	ahaztezina
swiftness	azkartasuna
impulsively	oldartsu
imprudent	zuhurtziagabe
burned	erre
slow-moving	motela
imposition	inposaketa
contradiction	kontradikzioa
variety	barietatea
idol	idoloa
irritate	narritagarriak
rremediable	irmotasuna
die	hiltzen
reasonable	arrazoizkoa
protests	protestak
commend	komentatzea
zealot	fanatiko
randomly	ausaz
bleed	odol
pessimistic	ezkor
sore	mina
anomaly	anomalia
well-known	ezagun
scary	beldurgarria
pessimistically	ezkutuan
vexation	gaitzespena
superficiality	azalekoa
erase	ezabatzea
messed	nahastua
fake	faltsuak
negligence	arduragabekeria
nepotism	nepotismoa
interesting	interesgarria
exhilaratingly	zorionez
rejoice	poztu
ironies	ironia
stimulate	estimulatzen
elegantly	dotorea
marvelousness	zoragarria
ignorant	ezjakin
accessable	eskuragarria
humiliation	umiliazioa
stupendously	zorionez
magic	magia
useless	alferrikako
repressive	errepikakorra
intelligent	adimentsua
stiffness	zurruntasuna
tolerable	toleragarria
complacent	atsegina
arrogant	harroa
faint	ahula
dead-cheap	hilda-merkea
bewilder	harritu
tiringly	nekagarria
troublesome	kezkagarria
commonplace	ohikoa
stolen	lapurtu
backwood	atzeratua
worthlessness	inutilitatea
instable	intsektuak
mistakenly	gaizki
trash	zakarrontzia
commodious	komodoak
cheerless	txundigarria
conceit	pentsamendua
agonizingly	hiltzear
assuredly	seguruenik
perilous	arriskutsua
crashes	kraskatzen
famed	famatua
spoilages	hondamena
self-sufficient	auto-nahikoa
disobedience	desobedientzia
muddy	loditsu
peculiarly	bereziki
disservice	desabantaila
traitorous	traidorea
effectual	eraginkorra
disloyal	desleial
murky	ilun
complain	kexatu
argumentative	argumentatzailea
ergonomical	ergonomikoa
retards	atzerapenak
chronic	kronikoa
senile	senil
stresses	estresa
standout	nabarmentzea
interference	interferentzia
horrible	izugarria
traduce	itzuli
trustworthiness	fidagarritasuna
indeterminably	indeterminabel
avalanche	elur-jausi
disaccord	desgaitu
aching	minduta
gullible	inozoa
virulence	birulentzia
disturbingly	kezkagarria
steal	lapurtu
dripping	tantaka
exterminate	suntsitzeko
rigidity	zurruntasuna
handier	handiago
pessimism	pessimismoa
tortures	torturak
troubled	nahastu
dreadfully	beldurgarria
threaten	mehatxua
wasted	alferrik
enthral	zoragarria
disapprobation	desadostasuna
enterprising	ekintzailea
revere	errespetatu
discredit	desenkusatu
enslave	esclave
ugly	itsusi
lavish	luxuzko
discord	desadostasun
inhuman	inhumano
incapable	ezgaituta
amiability	amabilitatea
harm	kalteak
prideful	harrotasuna
paradoxically	paradoxikoki
dismissively	baztertu
benefactor	ongile
joyous	pozik
frustrations	frustrazioak
distraction	distrazio
illuminating	argiztatzen
grating	sareta
irrationality	irrazionaltasuna
valiant	ausarta
ruthlessly	iruzur
mischief	gaiztakeria
self-humiliation	auto-umiliazioa
luster	distira
improve	hobetu
premier	lehenbailehen
aggressiveness	agresibitatea
selfinterested	berekoia
apologist	apologoa
affectionate	maitekiro
disconsolate	deskonposatu
perfect	perfektua
derisively	zoritxarrez
rubbish	zaborrak
frantic	frenet
unraveled	desblokeatua
vigilance	zaintza
gall	erkametzak
bomb	bonba
resurgent	berpiztea
dignified	dinamikoa
difficulties	zailtasunak
paralyzed	paralizatua
dissembler	desegileak
troubles	arazoak
grievous	zorigaiztoko
disregardful	ezezaguna
disastrous	negargarria
spoil	hondatu
emergency	larrialdi
wretchedness	zorigaiztasuna
contamination	kutsadura
fury	haserrea
contaminate	kutsatu
instructive	hezigarria
long-winded	hotza
idyllic	idilikoa
gems	harribitxiak
adjustable	erregulagarria
afford	ordaindu
exultation	salaketa
salute	salatu
outperform	gainditu
promoter	sustatzailea
monumentally	monumentalki
disquietingly	zoritxarrez
breaks	pausoak
lamentable	zoritxarrekoa
jealous	jeloskor
excellant	bikaina
whooa	noroa
negatives	negatiboak
fairness	zuzentasuna
exploitation	ustiapena
revitalize	berpizten
conspiracies	konspirazioak
humble	umila
reluctantly	errezeloa
superb	bikaina
cherished	maitatua
crisp	kurruskaria
oddest	bitxiena
equitable	egokia
seedy	zikin
invaluable	eskerga
inexpiable	ezinbestekoa
sticky	itsaskor
froze	izoztuak
meticulously	zorrotz
pretend	asmoa
unproductive	inprobisatzailea
disappointed	etsita
unrest	atsekabea
spectacular	ikusgarria
distrust	mesfidantza
bravery	ausardia
glitter	purpurina
dissatisfies	zorionak
killing	hiltzea
clamorous	gogorra
shortness	laburtasuna
gain	irabazia
fatally	faltan
prettily	ongi
dissatisfied	atsegina
limits	mugak
impurity	ezpurutasun
deterioration	hondatzea
anarchy	anarkia
guilt	errua
idolize	idolatu
impede	oztopatu
slashing	ebakitzen
mistake	akatsa
excessive	gehiegizkoa
derision	zoritxarra
triumphal	garaipen
optimism	optimismoa
denial	ukatzea
deplete	agortu
exceed	gainditu
excited	ilusioa
waning	ahultzen
dilemma	dilema
regreted	damua
reliable	fidagarria
disintegrates	desegiten
downhill	jeitsiera
affirmative	baiezkoa
subjected	jasan
superfluous	soberakoa
audiciously	entzunez
proven	frogatua
plea	epaia
allergy	alergia
forgetful	ahazkor
pauper	pobre
fanfare	fanfarrea
tension	tentsioa
selfish	berekoia
illuminate	argiztatu
uneconomical	garesti
honoring	ohorez
patriotic	patriotikoa
excoriate	desenkusatu
stuttering	toteltasun
haughty	altxorra
sickening	okaztagarri
amiss	gaizki
bewildering	harritzekoa
steady	egonkorra
reverence	begirunea
horrendously	izugarri
resound	berretsi
ironical	ironikoa
pillage	zakarrontzia
cannibal	kanibal
adulterated	faltsu
disintegration	desegituraketa
serene	sereno
venom	pozoia
nurturing	elikatzen
paradoxical	paradoxikoa
mobster	mafia
scream	garrasi
denunciate	salatu
inability	ezintasuna
trusty	fidagarria
courtly	gorteko
authoritative	autoritarioa
contrived	artekatua
positive	positiboa
unease	deserosotasuna
nefarious	gaiztoa
unjustifiably	bidegabeko
abominable	gorrotagarri
conciliatory	kontrataziozkoa
commiserate	komisarioa
celebrate	ospatzeko
embattled	harrituta
debility	ahultasuna
exhort	galdetu
snub	zoragarria
detraction	detrakzioa
encouraging	sustatuz
impeach	iruzur
disgracefully	zoritxarrez
quiet	lasai
invective	inbidia
monster	munstroa
sadden	tristea
dazzled	liluragarria
reticent	errespetu
saintly	santu
meddlesome	burugabea
depressing	depresioa
entrust	konfiantza
oppression	zapalkuntza
civility	gizalegea
sincerity	zintzotasuna
imposing	inposatu
silly	tonto
sneakily	isilean
lovable	maitekorra
niggles	eztabaidatzen
upseting	atsekabe
boycott	boikot
snappy	zoragarria
exciting	zirraragarria
figurehead	figurahead
malady	gaixotasuna
overstates	oztopatzen
facetiously	zorrotz
bleakness	ahuldu
honesty	zintzotasuna
maledict	gaiztakeria
attacks	erasoak
saint	santu
underestimate	gutxietsi
relief	erliebea
undecided	zehaztugabea
brotherly	anaia
phobia	fobia
aggressor	erasotzailea
swamped	zurrupatu
amusing	dibertigarria
aggrivation	erasoa
foolproof	ergela
disfavor	desatsegina
peach	mertxika
refined	findua
sinister	gaiztoa
underdog	gutxietsia
courageous	ausartak
calamitous	kalamitous
error	errorea
ache	mina
rewarding	aberasgarria
deviation	desbideraketa
irrecoverably	berreskuraezina
devastate	suntsitu
devastating	suntsitzaileak
laconic	laconikoa
dissidence	disidentzia
insulted	mindua
scourge	lautada
indifference	indiferentzia
appreciatively	apalki
strain	tentsio
perfection	perfekzioa
floored	zorua
crooked	torturatu
foresight	aurreikuspena
outrage	iruzur
fraud	iruzur
best-selling	best-sell
lower-priced	behe-tasatuak
phobic	phobia
frets	trinkotu
uncouth	gordin
rejection	errefusatzea
incoherent	inkoherentea
shark	marrazo
hatefulness	gorrotoa
brittle	hauskorra
foulness	leuntasuna
restrictive	murriztaileak
overwhelmed	larritu
sugar-coat	azukre-armarria
unbearable	jasanezina
racism	arrazismoa
whimper	kexu
prudently	zuhurki
overstatement	ahaztuz
harmonious	harmoniatsua
deluded	ahaztuta
unfavorable	desegoki
purify	purifikatu
allegation	alegazioak
miraculously	mirariz
maladjustment	okerra
erroneous	okerra
die-hard	hiltzen
ripoff	erauzi
dazzling	liluragarria
enticed	liluratuta
serenity	serenitate
prominent	nabarmena
wrongly	gaizki
revive	berpiztu
infringe	urratzen
confusions	nahasteak
annoy	ernegatu
undercut	ahuldu
irreplacible	erreplika
implausibly	inplizituki
conspire	konspiratzen
stigmatize	estigmatizatu
frightfully	beldurrez
bargain	ganga
convience	konbentzionala
racists	arrazistak
messes	nahastea
better	hobeto
audaciously	ausarki
ire	gorrotoa
redemption	erreskatea
vulnerable	zaurgarria
enthuse	entusiasmo
false	faltsua
enchanting	zoragarria
revoltingly	maltzurki
unaffordable	garestiegi
impotent	inpotentzia
advocate	defendatzeko
available	eskuragarri
downfallen	jaitsiera
trap	tranpa
encouragingly	animagarria
achievible	lorgarria
irritations	irritazioak
qualify	gaitu
stinks	zorabioak
deny	ukatu
discontent	atsekabea
bust	bustoa
unity	batasuna
merit	merezimendua
unfamiliar	ezezagun
invisible	ikusezina
audacity	ausarkeria
exellent	zoragarria
issue	arazoa
pale	zurbila
snappishly	zorrotz
ruining	hondamena
unknown	ezezaguna
spew	egotzi
dispirited	ahaztuta
windfall	zorabioak
prestigious	prestigioa
enjoys	gozatzen
misalign	desorekatu
redundancy	erredundantzia
oppressors	zapaltzaileak
fascinatingly	liluragarriak
desecrate	desegiteko
unwarranted	bidegabeko
flat-out	laua-out
erratically	erratikoki
anger	haserrea
good	ona
addicted	adikzioa
betray	traizio
concern	kezka
unstable	ezegonkor
averse	ausaz
molest	bortxatu
ax	aizkora
conveniently	eroso
devilment	deabrua
stimulating	estimulatzailea
arrogance	harrokeria
vivid	bizia
pitiful	zoragarria
protest	protesta
rectifying	zuzentzeko
loss	galera
dirt	zikinkeria
pitiless	zorigaiztoko
melodramatically	melodramatikoki
defective	akatsa
bankrupt	errua
triumphant	garaile
diligence	diligentzia
adamant	zorrotz
timid	tximinoa
blockhead	blokeatuta
spinster	neskazahar
cocky	oilarra
shallow	azaleko
intriguing	intrigazkoa
moronic	tontoa
inevitably	ezinbestean
loser	galtzaile
drippy	dardoak
warily	zorrotz
embarrassing	lotsagarria
smear	lohitu
stylized	estilizatua
dented	ahuldu
quicker	azkarrago
disrepute	ausazkoa
accurately	zehaztasunez
inexpensive	merke
revival	berpiztea
wisely	zuhurki
warmly	hotz
civilize	zibilizatu
infamously	gaizki
redeem	trukatu
miracle	miraria
ineffectualness	ezintasuna
pleases	atsegin
defunct	desagertua
discontentedly	atsekabez
barbarity	basatasuna
fast-paced	bizkor
condemnable	kondenagarria
clarity	argitasuna
exacerbate	areagotu
miraculous	mirarizko
restful	atsedena
productively	produktiboki
admiration	mirespena
isolate	isolatu
fabrication	fabrikazioa
guilty	errudunak
assure	ziurtatu
depressed	depresioa
warp	ahuldua
tumble	erori
horrified	izuturik
skillful	trebea
harmless	kaltegabeak
educated	hezitua
satisfactory	ona
misinform	desinformatu
pestilent	izurritea
bafflement	nahastasuna
nag	gogaitu
nervously	urduri
barbaric	basatia
starkly	zorrotz
dark	iluna
snobbish	harroputz
superficial	azalekoa
imaculate	imajitua
vain	harro
untenable	defendaezin
readily	erraz
collusion	konbinazioa
exaltedly	altxorra
ugliest	itsusien
horrifies	izutzen
filth	zikin
overtakes	gainditu
weak	ahula
poor	pobreak
guidance	orientazioa
ached	zorionak
intimacy	intimitatea
picturesque	pintoreskoa
altruistically	altruistaz
expertly	aditua
surpass	gainditu
horrific	beldurgarria
replaceable	ordezkagarria
wise	jakintsua
twisted	bihurritu
free	doako
brand-new	berri-berria
hazard	arriskua
enlightenment	ilustrazioa
grievances	gezurrak
fresh	freskoa
magnificently	bikaina
anxieties	antsietateak
impoverish	nekea
inaccuracy	zehazgabea
incessant	etengabe
effrontery	errukia
derisive	zoritxarrez
hurts	mina
disbelief	sinesgaitza
spewed	egotzi
risk	arriskua
loud	ozen
obscurity	iluntasuna
confrontation	konfrontazio
fame	ospea
assassin	hiltzailea
suffered	jasan
death	heriotza
earnestly	serio
cruelty	krudelkeria
recklessness	errukitsua
freakish	bizkorra
obsessions	obsesioak
pathetic	patetikoa
repression	errepresioa
forgetfulness	ahaztuz
warning	abisua
flutter	bultza
polluter	kutsatzaileak
